bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,6,0.45467092998574676,-3.936628659056068
-10,-10B,String,1.0,-9,-9B,String,323055,valid,2,1.0117633086021836,-25.694810565582415
-100,-100B,String,1.0,-99,-99B,String,51443,valid,2,0.9581437473653585,-25.5174521322884
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,2,0.9375603666210193,-26.215171757397513
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,2,0.7460415921433049,-26.02023516312792
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,2,0.16173300104707855,-25.298857135302587
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,2,0.12284500165737028,-25.618737288610486
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,2,1.8984731724489612,-26.042687533253172
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,2,1.573324192977579,-25.87671949859584
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,2,0.5078135267300338,-26.54757720673905
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,2,1.573148873931087,-25.001168306486644
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,2,1.2512929705825844,-25.407604824258982
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,2,0.09170827845195294,-25.839462427792093
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,2,0.5676261020212132,-26.957826058663137
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,2,0.10066413342240223,-26.510473884120042
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,2,1.1254742266702398,-26.062471894885125
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,2,1.7983715184203093,-26.692590621837645
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,2,1.4387722551267832,-25.721644414217288
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,2,0.484363228694379,-25.600606440353918
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,2,-0.30854267196751406,-26.409759432048663
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,2,1.8052799860279591,-26.254431677024638
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,2,0.2825307645902025,-26.090795509698573
