bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,4,11.801923819622203,-10.38693762166103
-10,-10B,String,1.0,-9,-9B,String,323055,valid,2,-10.312940470834787,2.910416448900492
-100,-100B,String,1.0,-99,-99B,String,51443,valid,2,-10.345992095125505,3.005021989072978
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,2,-10.479443718221534,2.707114775184951
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,2,-10.38069614163101,2.6179616322592487
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,2,-10.620768233742748,2.466939244629218
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,2,-10.393716347685992,2.191485336620809
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,2,-10.120095904916205,1.959792813404549
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,2,-9.78256578369501,1.8651203828734415
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,2,-9.546051103546718,1.7254451640366633
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,2,-9.153107423913282,2.014810763883885
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,2,-8.668859391625292,1.9078867607403873
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,2,-8.061408669886436,1.9319999820794187
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,2,-7.574810973911735,2.063401079340626
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,2,-6.940125305451897,1.8272993357237937
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,2,-6.419340455132113,1.6014584414878745
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,2,-6.132425387706221,1.1890903544582905
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,2,-5.85055027916791,0.6026696772139933
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,2,-5.342226578585791,0.823989326939773
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,2,-5.433352785334116,0.3762259475168416
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,2,-5.345583678970996,0.8700825439782993
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,2,-5.136658807436143,0.5255841113407262
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,2,-5.624423738826916,0.4991044021959241
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1281,valid,2,-5.786698772567692,0.7545004173690061
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1240,valid,2,-5.908631715988746,1.1460330377811057
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,1316,valid,2,-6.251832804552599,1.4189933697012425
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,1290,valid,2,-6.86996979628935,1.9144862673583145
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,1266,valid,2,-7.366726613784372,2.1182183070756917
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,1281,valid,2,-7.999079365748538,1.9628991801118665
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,1205,valid,2,-8.21798933586211,2.348665232948032
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,857,valid,2,-8.615299343092149,2.2944512480280808
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,332,valid,2,-8.91063398968527,2.049642226593378
-100000000000000000000000000000000,-100000000000000000000000000000000B,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,String,69,valid,2,-9.42241690495661,2.21868244082108
9,9B,String,1.0,10,10B,String,915385,valid,4,12.085960351212346,-10.901333036349703
99,99B,String,1.0,100,100B,String,133133,valid,4,11.862474541647341,-10.754971570947124
9950,9.9 kB,String,1.0,9951,10.0 kB,String,25248,valid,3,3.136669512849402,18.0324734582264
9950000,9.9 MB,String,1.0,9950001,10.0 MB,String,11693,valid,3,3.0303251289653037,18.138923039336074
9950000000,9.9 GB,String,1.0,9950000001,10.0 GB,String,4854,valid,3,3.5661332745339362,17.59970686888563
9950000000000,9.9 TB,String,1.0,9950000000001,10.0 TB,String,4869,valid,3,3.2550364548127697,17.913598617877085
9950000000000001999,9.9 EB,String,1.0,9950000000000002000,10.0 EB,String,1942,valid,3,3.3372953134624423,17.83131150739527
