bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,3,-1.8961952203612016e16,-0.9698364646045552
-10,-10B,String,1.0,-9,-9B,String,323055,valid,2,-5.889036197164497,-1.2419214259993824e16
-100,-100B,String,1.0,-99,-99B,String,51443,valid,2,21.024658071597727,-2.028049196218762e16
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,2,22.250170735949517,-2.0280491962187612e16
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,2,20.08896576668195,-2.0280491962187612e16
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,2,20.538051254493084,-2.0280491962187612e16
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,2,21.675455481300528,-2.0280491962187628e16
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,2,20.14138903875972,-2.0280491962187616e16
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,2,19.449679017394583,-2.0280491962187612e16
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,2,20.792753868633824,-2.028049196218761e16
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,2,21.083578096835296,-2.0280491962187612e16
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,2,21.6546098245804,-2.0280491962187612e16
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,2,21.546202065348513,-2.0280491962187616e16
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,2,20.80711578556491,-2.0280491962187616e16
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,2,-1.0944756881356672,-1.2419214259993824e16
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,2,-19.080403521126286,-1.2419214259993824e16
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,2,10.93328248744552,-1.2419214259993824e16
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,2,-13.535106674296554,-1.2419214259993824e16
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,2,18.585116630097005,-1.2419214259993824e16
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,2,24.900222920435283,-1.2419214259993824e16
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,2,21.535628872923997,-1.2419214259993824e16
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,2,15.936851638257801,-1.2419214259993824e16
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,2,13.309231549720785,-1.2419214259993824e16
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1281,valid,2,-22.50228665923354,-1.2419214259993824e16
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1240,valid,2,-10.917083290773318,-1.2419214259993824e16
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,1316,valid,2,3.691453652192824,-1.2419214259993824e16
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,1290,valid,2,-3.4966403310288157,-1.2419214259993824e16
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,1266,valid,2,6.070783624661752,-1.2419214259993824e16
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,1281,valid,2,-16.27791079445781,-1.2419214259993824e16
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,1205,valid,2,1.3023485700422477,-1.2419214259993824e16
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,857,valid,2,28.98602219935241,-1.2419214259993824e16
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,332,valid,2,-8.320944918877046,-1.2419214259993824e16
-100000000000000000000000000000000,-100000000000000000000000000000000B,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,String,69,valid,2,8.402819735120701,-1.2419214259993824e16
9,9B,String,1.0,10,10B,String,915385,valid,3,-1.7277685357770558e16,-8.158653805244846
99,99B,String,1.0,100,100B,String,133133,valid,3,-1.8828705747966704e16,5.282223979453392
9950,9.9 kB,String,1.0,9951,10.0 kB,String,25248,valid,5,-56.632852194710054,-7.813969833359363
9950000,9.9 MB,String,1.0,9950001,10.0 MB,String,11693,valid,5,-56.751107951764624,-7.695714076304703
9950000000,9.9 GB,String,1.0,9950000001,10.0 GB,String,4854,valid,5,-56.65837175948931,-7.7884502685800285
9950000000000,9.9 TB,String,1.0,9950000000001,10.0 TB,String,4869,valid,5,-56.344171330080165,-8.102650697989112
9950000000000001999,9.9 EB,String,1.0,9950000000000002000,10.0 EB,String,1942,valid,5,-56.517750168094366,-7.929071859974975
9950000000000999,9.9 PB,String,1.0,9950000000001000,10.0 PB,String,4864,valid,5,-56.28111552497444,-8.165706503094812
999,999B,String,2.0,1000,1.0 kB,String,27846,valid,3,-1.8824384728344428e16,-0.50090220873026
99949,99.9 kB,String,1.0,99950,100.0 kB,String,12010,valid,1,-2.41568452844607e16,-2.308435625698666
99949999,99.9 MB,String,1.0,99950000,100.0 MB,String,11325,valid,1,-2.41568452844607e16,-2.484641924483553
99949999999,99.9 GB,String,1.0,99950000000,100.0 GB,String,4985,valid,1,-2.41568452844607e16,-2.614871948214357
99949999999999,99.9 TB,String,1.0,99950000000000,100.0 TB,String,4988,valid,1,-2.413768724859441e16,18.553609044495115
99949999999999991999,99.9 EB,String,1.0,99949999999999992000,100.0 EB,String,1674,valid,1,-2.234715601677233e16,-7.498046184526198
99949999999999999,99.9 PB,String,1.0,99950000000000000,100.0 PB,String,4978,valid,1,-2.413768724859441e16,18.95956118961892
999949,999.9 kB,String,2.0,999950,1.0 MB,String,14899,valid,3,-2.261704851278156e16,27.509702413289247
999949999,999.9 MB,String,2.0,999950000,1.0 GB,String,8891,valid,3,-2.261704851278156e16,27.948377421710422
999949999999,999.9 GB,String,2.0,999950000000,1.0 TB,String,5088,valid,3,-2.261704851278156e16,27.885949449009107
999949999999999,999.9 TB,String,2.0,999950000000000,1.0 PB,String,4869,valid,3,-2.2617048512781556e16,28.492631061469964
999949999999999935999,999.9 EB,String,1.0,999949999999999936000,1000.0 EB,String,683,valid,1,-2.234715601677233e16,-7.077409197228363
999949999999999999,999.9 PB,String,2.0,999950000000000000,1.0 EB,String,4501,valid,3,-2.0680355311943056e16,6.43055085279631
false,falseB,String,1.0,true,trueB,String,9821408,valid,4,-2.047184211823493e16,-4.391488042431627
-1000000000000000000000000000000000,-1000000000000000000000000000000000B,String,1.0,-999999999999999999999999999999999,-999999999999999999999999999999999B,String,3,valid,2,-26.33075085914299,-1.2419214259993824e16
