bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,3,-8.488448039869391,9.416970418749651
-10,-10B,String,1.0,-9,-9B,String,323055,valid,2,1.6297720357701133,-1.269613236337632
-100,-100B,String,1.0,-99,-99B,String,51443,valid,2,1.343892914425971,-1.1398623491824544
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,2,1.3601535752963267,-0.9359756557516963
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,2,1.7576792559483985,-0.8339859657988309
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,2,1.8375455520545885,-0.9405403263838289
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,2,2.249497562752548,-0.906735108325592
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,2,2.4975697960527983,-0.7192275076328382
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,2,2.6211819601968074,-0.4219798346373719
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,2,2.937063881346271,-0.46484194214960795
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,2,3.286965728441234,-0.9397090558493533
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,2,3.636802160975568,-1.3623955338384255
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,2,4.093332968379814,-1.6630903286107677
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,2,4.64470789389999,-2.200493327567089
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,2,5.285960860086388,-2.5477012297834434
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,2,5.9514705703124475,-2.7967968809770536
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,2,6.589812864118178,-2.8195400771224803
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,2,6.9866843135686425,-2.9653244189985086
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,2,7.442053495624569,-2.9383454309243415
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,2,7.508379721432937,-2.967587247539056
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,2,7.396518023874892,-2.7126169668079854
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,2,7.390650553537068,-2.552105490861023
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,2,7.148680473175748,-3.2348061092934066
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1281,valid,2,6.794288748778272,-2.627075254470993
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1240,valid,2,6.24938485288146,-3.058857632720617
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,1316,valid,2,5.831347302676832,-2.724729039031805
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,1290,valid,2,5.297389034737382,-2.752599528262569
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,1266,valid,2,4.887641255724457,-2.4154218619618453
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,1281,valid,2,4.359499559711669,-1.9166133900770461
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,1205,valid,2,3.991936417529572,-1.4255572053234677
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,857,valid,2,3.6018242114141548,-1.0846135042760219
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,332,valid,2,3.6218509089847126,-0.9313569037975455
-100000000000000000000000000000000,-100000000000000000000000000000000B,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,String,69,valid,2,3.18982746096528,-0.7151147669744782
9,9B,String,1.0,10,10B,String,915385,valid,3,-8.453189783177146,9.96174082603177
99,99B,String,1.0,100,100B,String,133133,valid,3,-8.639829084516007,9.632510782353426
9950,9.9 kB,String,1.0,9951,10.0 kB,String,25248,valid,1,-13.308516673609013,-30.28255390483705
9950000,9.9 MB,String,1.0,9950001,10.0 MB,String,11693,valid,1,-13.188243634881783,-30.162179809156704
