bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,3,1.3722746508733694,-13.90520366179291
-10,-10B,String,1.0,-9,-9B,String,323055,valid,1,-15.458894021981084,-22.570207733781622
-100,-100B,String,1.0,-99,-99B,String,51443,valid,1,-15.022484051178143,-23.38455021390322
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,1,-15.316599655477031,-22.18168796015771
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,1,-14.84432058413454,-23.023816948707896
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,1,-15.886486777332346,-22.837171180502516
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,1,-15.665424795050363,-23.08816151835698
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,1,-15.689965780338888,-22.74282360289676
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,1,-14.23955435846421,-23.077122133834425
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,1,-15.34248051790425,-22.840648320158888
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,1,-14.880603015512706,-22.27182599213681
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,1,-15.460615081311571,-23.745097797981778
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,1,-16.06847441326601,-21.858006098291128
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,1,-14.76834486397057,-21.768512628113985
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,1,-15.824241396835522,-21.93936400458387
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,1,-14.984476010554147,-23.12736674660828
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,1,-14.078520637490104,-22.650510543731045
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,1,-14.93542814594583,-23.85994110683512
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,1,-14.904446292902508,-22.513155468672874
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,1,-15.520029692422776,-21.494473912823295
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,1,-16.124308544919227,-23.31395725456634
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,1,-15.153484097461895,-21.743861299303912
