bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,5,-2.3886687014727706,0.9733599007904965
-10,-10B,String,1.0,-9,-9B,String,323055,valid,5,-2.246461961225631,0.38326428440529714
-100,-100B,String,1.0,-99,-99B,String,51443,valid,5,-1.9689009719181865,0.19527515572600568
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,5,-1.6562062906913866,0.8537307106272815
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,5,-1.5540895655280142,1.2401225065408745
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,1,-3.165171870133031,6.011570637963823
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,1,-3.381994291037232,6.384128711922195
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,1,-3.5611325846924617,6.673025064666703
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,1,-3.7680989642946447,6.916953517741646
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,1,-3.17486853309078,7.0945209940717495
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,1,-3.3016855017792075,7.655634960192963
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,1,-2.6615697467531896,7.879456014492963
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,1,-2.17155583125953,8.411701450148461
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,1,-1.6748669861336132,8.837130923834033
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,1,-1.2774315588569325,9.211974158413643
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,1,-0.7385870918967711,9.675219003637574
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,1,-0.03650514633345506,10.004198767361954
