bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,1,7.145323183851311,9.700398500539803
-10,-10B,String,1.0,-9,-9B,String,323055,valid,2,-3.4371655129234338,-5.0183019464342875
-100,-100B,String,1.0,-99,-99B,String,51443,valid,2,-3.2377986878145695,-4.694450572360164
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,2,-3.3556951769711088,-4.6162036005745115
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,2,-3.573636755714092,-4.4976285378212815
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,2,-3.581023305169002,-4.405146779840209
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,2,-3.800645787913593,-4.345978443004423
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,2,-3.988518248691636,-4.714220111027453
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,2,-4.227850683224231,-5.093498356108003
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,2,-4.438232810176566,-5.231177555831764
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,2,-4.2420101836907325,-5.515329583678674
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,2,-4.480928591685286,-5.692129999619267
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,2,-4.4946477788621335,-5.915613367875427
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,2,-4.6649710973918355,-6.448472156553378
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,2,-4.694081687255022,-6.343684867827742
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,2,-5.139286831129686,-6.524126813745577
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,2,-5.136793852434632,-6.827747339643715
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,2,-5.340159599816348,-7.057163273896776
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,2,-5.360257880520152,-7.235668617134374
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,2,-5.471663244090124,-7.477477059380165
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,2,-5.666598529364577,-7.615734049368294
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,2,-5.932262756063361,-7.824722992956771
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,2,-6.2033255902338995,-8.096557572560194
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1281,valid,2,-6.425448416520032,-7.8243582487115875
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1240,valid,2,-6.6520664245350964,-7.671983267982331
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,1316,valid,2,-6.900056636089846,-7.689222664435187
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,1290,valid,2,-7.199823893070063,-7.729998085923637
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,1266,valid,2,-7.172524437480436,-7.2628312490716205
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,1281,valid,2,-7.326864636967904,-7.332175154103752
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,1205,valid,2,-7.4454268742361815,-6.948666804701282
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,857,valid,2,-7.488445027349717,-6.8776513509203125
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,332,valid,2,-7.276598877386921,-6.519618520750469
-100000000000000000000000000000000,-100000000000000000000000000000000B,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,String,69,valid,2,-7.033893670852826,-6.756363980754857
9,9B,String,1.0,10,10B,String,915385,valid,1,7.166242113544898,9.16165916095873
99,99B,String,1.0,100,100B,String,133133,valid,1,6.936629448990134,9.430698768522713
