bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,1,-5.453595846172332,17.259000980200202
-10,-10B,String,1.0,-9,-9B,String,323055,valid,2,-6.2613206308568845,-1.1688847982527888
-100,-100B,String,1.0,-99,-99B,String,51443,valid,2,-6.168832065231466,-1.8642770666824946
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,2,-5.826635440130407,-3.7828226441562776
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,2,-5.615306018395076,-4.764127820059908
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,2,-5.448959475215378,-5.873922653060072
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,2,-5.815097286254741,-5.984664545775779
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,2,-5.547870740618022,-6.162031442601121
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,2,-5.730273130859491,-5.810414752587478
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,2,-5.651683877032694,-5.567671058341774
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,2,-5.451412377153382,-5.281352749908026
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,2,-5.782878659064236,-4.8732419732351415
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,2,-5.769788782964169,-4.397398682640117
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,2,-5.906806764367001,-3.938500319384476
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,2,-5.889438533345868,-3.2968732321227434
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,2,-5.96383394760612,-2.6737388382943967
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,2,-6.0691805478824135,-2.067409560712539
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,2,-6.252025759876211,-1.6013035912730533
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,2,-6.496070460373397,-0.9785073464730681
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,2,-6.513318777025164,-0.6484764867144965
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,2,-6.718381166059262,0.013192025923342232
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,2,-6.838350815010131,0.3885157533698095
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,2,-6.914225435213516,0.6829056681219664
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1281,valid,2,-7.062474854218493,1.0249956286492448
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1240,valid,5,-7.228266195926126,1.4057296883223822
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,1316,valid,5,-7.413677655770367,1.7089978237019803
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,1290,valid,5,-7.519473418884745,2.1765746006909015
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,1266,valid,5,-7.623896026971577,2.0943431191976134
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,1281,valid,5,-7.946537198594979,2.211435025931799
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,1205,valid,5,-8.075422901944835,1.991190470480409
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,857,valid,5,-8.300155926876783,2.0627416495189337
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,332,valid,5,-8.441312810679737,2.3706292611743893
-100000000000000000000000000000000,-100000000000000000000000000000000B,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,String,69,valid,5,-8.599089877018628,2.587928064770289
9,9B,String,1.0,10,10B,String,915385,valid,1,-5.33690930937929,17.419833454235036
99,99B,String,1.0,100,100B,String,133133,valid,1,-5.298648843299519,17.132754401004377
9950,9.9 kB,String,1.0,9951,10.0 kB,String,25248,valid,6,18.1917655806988,-6.362672750900159
9950000,9.9 MB,String,1.0,9950001,10.0 MB,String,11693,valid,6,18.188825634911737,-6.35976434437609
9950000000,9.9 GB,String,1.0,9950000001,10.0 GB,String,4854,valid,6,17.998724019025605,-6.170146237332565
9950000000000,9.9 TB,String,1.0,9950000000001,10.0 TB,String,4869,valid,6,18.329942998051695,-6.5008168713755525
9950000000000001999,9.9 EB,String,1.0,9950000000000002000,10.0 EB,String,1942,valid,6,18.37581056490716,-6.546691067394106
9950000000000999,9.9 PB,String,1.0,9950000000001000,10.0 PB,String,4864,valid,6,18.04685709106117,-6.217772314017839
999,999B,String,2.0,1000,1.0 kB,String,27846,valid,1,-5.225893321751696,17.0684186241572
99949,99.9 kB,String,1.0,99950,100.0 kB,String,12010,valid,3,0.6498347373469711,5.692922641498943
99949999,99.9 MB,String,1.0,99950000,100.0 MB,String,11325,valid,3,0.9065563963159039,5.8721373011299995
