bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,1,-3.1241635198335387,-10.665683185726593
-10,-10B,String,1.0,-9,-9B,String,323055,valid,1,-2.9131248902980387,-10.311721744177717
-100,-100B,String,1.0,-99,-99B,String,51443,valid,1,-3.044389154041755,-9.82468660897211
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,1,-3.314918775602011,-9.41415684614828
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,1,-4.776246063175782,-10.81240864989108
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,1,-5.559208400737269,-11.656051096467259
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,4,-5.865854851184012,-11.997801658337307
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,4,-5.9602974704016045,-12.100563600681724
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,4,-6.182216361732779,-12.349212406182438
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,4,-6.424473650828976,-12.614658213300252
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,4,-6.61533612378744,-12.826482488129187
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,4,-6.9149623060199685,-13.17308270656792
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,4,-7.0772496996136365,-13.432080482581304
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,4,-7.339673433266205,-13.8192340734576
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,4,-7.3693051627826724,-13.921339169601907
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,4,-7.69076259516405,-14.268182039725868
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,4,-7.9364517292254595,-14.463117934220564
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,4,-8.130589619455115,-14.779820363717798
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,4,-8.27423931169516,-14.951435201006962
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,4,-8.440492211112826,-15.196441083377938
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,4,-8.63855834038452,-15.483673506886408
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,4,-8.95623584236489,-15.542528118663283
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,4,-8.832657339813892,-15.801400717966182
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1281,valid,4,-9.120173612486107,-15.962872705517212
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1240,valid,2,-9.3079416226108,-16.033153407421693
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,1316,valid,2,-9.461358608148824,-16.151594214718852
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,1290,valid,2,-9.941935498460248,-16.379711072321157
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,1266,valid,2,-10.194475000569641,-16.483217245377794
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,1281,valid,2,-10.466549195626285,-16.527818950884495
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,1205,valid,2,-10.65456282601436,-16.71383129844923
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,857,valid,2,-10.815186699657414,-16.84463648940907
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,332,valid,2,-10.63884346284205,-17.038759776941415
-100000000000000000000000000000000,-100000000000000000000000000000000B,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,String,69,valid,2,-10.884946623159491,-17.074175275504444
9,9B,String,1.0,10,10B,String,915385,valid,1,-3.0918806235639957,-10.519548432629312
99,99B,String,1.0,100,100B,String,133133,valid,1,-2.898418986498548,-10.702860546599043
9950,9.9 kB,String,1.0,9951,10.0 kB,String,25248,valid,3,-12.709594386944094,0.01610422228121295
9950000,9.9 MB,String,1.0,9950001,10.0 MB,String,11693,valid,3,-12.434174050164685,0.2906038609032133
9950000000,9.9 GB,String,1.0,9950000001,10.0 GB,String,4854,valid,3,-12.513308165996245,0.21053004798707414
9950000000000,9.9 TB,String,1.0,9950000000001,10.0 TB,String,4869,valid,3,-12.365199027477436,0.36030214630978225
9950000000000001999,9.9 EB,String,1.0,9950000000000002000,10.0 EB,String,1942,valid,3,-12.666997560407607,0.05923864182707241
9950000000000999,9.9 PB,String,1.0,9950000000001000,10.0 PB,String,4864,valid,3,-12.21879987062455,0.506910645071308
999,999B,String,2.0,1000,1.0 kB,String,27846,valid,1,-3.2606684381438087,-10.275795940934984
99949,99.9 kB,String,1.0,99950,100.0 kB,String,12010,valid,6,3.0553506806836683,-1.6742512498482478
99949999,99.9 MB,String,1.0,99950000,100.0 MB,String,11325,valid,6,3.2690938862040784,-1.841139264094579
99949999999,99.9 GB,String,1.0,99950000000,100.0 GB,String,4985,valid,6,2.961349098053205,-1.4634903213046948
99949999999999,99.9 TB,String,1.0,99950000000000,100.0 TB,String,4988,valid,6,3.054432792730924,-1.388525420340664
99949999999999991999,99.9 EB,String,1.0,99949999999999992000,100.0 EB,String,1674,valid,6,3.4832373087190898,-2.064257024270293
99949999999999999,99.9 PB,String,1.0,99950000000000000,100.0 PB,String,4978,valid,6,2.8108645638874274,-1.624058052894206
999949,999.9 kB,String,2.0,999950,1.0 MB,String,14899,valid,1,-3.061795618554854,-9.152011235059382
999949999,999.9 MB,String,2.0,999950000,1.0 GB,String,8891,valid,1,-3.3297087688935414,-9.498309513948465
999949999999,999.9 GB,String,2.0,999950000000,1.0 TB,String,5088,valid,1,-2.8902947517700124,-9.344258036128815
999949999999999,999.9 TB,String,2.0,999950000000000,1.0 PB,String,4869,valid,1,-2.848596367682765,-9.211248185016034
999949999999999935999,999.9 EB,String,1.0,999949999999999936000,1000.0 EB,String,683,valid,6,3.1527533329218955,-1.7275731378030037
999949999999999999,999.9 PB,String,2.0,999950000000000000,1.0 EB,String,4501,valid,1,-3.3219773119023155,-9.238614649860288
false,falseB,String,1.0,true,trueB,String,9821408,valid,5,3.4165035098732206,-2.0164373771148267
-1000000000000000000000000000000000,-1000000000000000000000000000000000B,String,1.0,-999999999999999999999999999999999,-999999999999999999999999999999999B,String,3,valid,2,-10.469428200573645,-17.34502366278654
