bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,2,8.293590532559774,-3.4054898245186083
-10,-10B,String,1.0,-9,-9B,String,323055,valid,2,8.786411021993677,-2.5889932673965026
-100,-100B,String,1.0,-99,-99B,String,51443,valid,2,8.365557201859932,-1.3878377292866506
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,2,8.034698594328685,-0.3351237398657098
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,2,7.240184789175359,0.050788758425187604
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,2,7.5815584158197185,1.5978810050860168
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,2,7.79275403757895,1.6205113822524726
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,2,7.930461861885776,1.7547666837861917
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,2,8.041531953121645,1.8959490185965326
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,2,8.207582197338894,1.499730436599193
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,2,7.9412206383368,1.3049258816089675
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,2,7.780691439147806,0.8488075313440991
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,2,7.870593763075067,0.2718169131069884
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,2,8.311559471640146,-0.13116756136576568
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,2,8.201721159185968,-0.6435347469976246
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,2,8.410037393443963,-1.1248468150791286
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,2,8.7854664199013,-1.4821426725579412
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,2,8.604846604679866,-2.0697157183791632
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,2,8.738900178131315,-2.4768723498892107
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,2,8.657196511533293,-3.0148545524873085
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,2,8.482621230763169,-3.6659476432437543
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,2,8.332477837833192,-3.8977141162264957
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,2,8.522382237105294,-4.194210101300895
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1281,valid,2,8.416650824151235,-4.677742881377639
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1240,valid,3,8.365556517615186,-4.968925703736774
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,1316,valid,3,8.66243413290065,-5.295674939874096
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,1290,valid,3,8.254602077648988,-5.211559189690201
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,1266,valid,3,8.41950016664741,-5.513263014411719
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,1281,valid,3,8.578166791540276,-5.804715358267187
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,1205,valid,3,8.251146901440139,-6.090367295253877
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,857,valid,3,8.157887048522397,-6.208388951353679
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,332,valid,3,8.147009833938087,-6.350770719878414
-100000000000000000000000000000000,-100000000000000000000000000000000B,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,String,69,valid,3,7.706109453087226,-6.207136800737881
9,9B,String,1.0,10,10B,String,915385,valid,2,8.73939016016324,-3.5696637691486823
99,99B,String,1.0,100,100B,String,133133,valid,2,8.313940357500876,-2.6676714765306606
9950,9.9 kB,String,1.0,9951,10.0 kB,String,25248,valid,1,-17.4852741976056,9.780804901550638
9950000,9.9 MB,String,1.0,9950001,10.0 MB,String,11693,valid,1,-18.030058205497934,9.793985727523088
9950000000,9.9 GB,String,1.0,9950000001,10.0 GB,String,4854,valid,1,-17.777882681795592,9.463491130768869
9950000000000,9.9 TB,String,1.0,9950000000001,10.0 TB,String,4869,valid,1,-18.019836245127586,9.66618649018165
9950000000000001999,9.9 EB,String,1.0,9950000000000002000,10.0 EB,String,1942,valid,1,-17.604265936413018,9.627215115183523
9950000000000999,9.9 PB,String,1.0,9950000000001000,10.0 PB,String,4864,valid,1,-17.622152465322745,9.930961452035897
999,999B,String,2.0,1000,1.0 kB,String,27846,valid,2,8.545351748483165,-0.8198259728621183
99949,99.9 kB,String,1.0,99950,100.0 kB,String,12010,valid,1,-17.68133877383622,9.158166602765736
99949999,99.9 MB,String,1.0,99950000,100.0 MB,String,11325,valid,1,-17.889065270604352,9.35653461196047
99949999999,99.9 GB,String,1.0,99950000000,100.0 GB,String,4985,valid,1,-18.399274404989523,9.883225965366183
99949999999999,99.9 TB,String,1.0,99950000000000,100.0 TB,String,4988,valid,1,-17.922932375540427,10.10197837511826
99949999999999991999,99.9 EB,String,1.0,99949999999999992000,100.0 EB,String,1674,valid,1,-18.47024700885743,9.66247481286984
99949999999999999,99.9 PB,String,1.0,99950000000000000,100.0 PB,String,4978,valid,1,-18.244680572290317,9.371999452292568
999949,999.9 kB,String,2.0,999950,1.0 MB,String,14899,valid,2,7.006887375470057,0.10967333780237748
999949999,999.9 MB,String,2.0,999950000,1.0 GB,String,8891,valid,2,7.048878544000629,0.1406061943998305
999949999999,999.9 GB,String,2.0,999950000000,1.0 TB,String,5088,valid,2,6.982517331105408,-0.13828258977666938
999949999999999,999.9 TB,String,2.0,999950000000000,1.0 PB,String,4869,valid,2,6.796604315062554,0.309571840921058
999949999999999935999,999.9 EB,String,1.0,999949999999999936000,1000.0 EB,String,683,valid,1,-18.112574849318804,8.989415910097547
999949999999999999,999.9 PB,String,2.0,999950000000000000,1.0 EB,String,4501,valid,2,6.805771428741754,0.35328457451320683
false,falseB,String,1.0,true,trueB,String,9821408,valid,1,-18.145376561191686,8.819418118861918
-1000000000000000000000000000000000,-1000000000000000000000000000000000B,String,1.0,-999999999999999999999999999999999,-999999999999999999999999999999999B,String,3,valid,3,8.014162639223299,-5.898297519901307
