bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,4,-1.7140176156457736,-1.5308439209455076
-10,-10B,String,1.0,-9,-9B,String,323055,valid,4,-1.912546505674896,-2.2330853766951058
-100,-100B,String,1.0,-99,-99B,String,51443,valid,4,-2.549225794036078,-2.1578217238822157
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,4,-2.859022349775474,-1.731069110627147
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,4,-3.256103983087976,-1.557684684450587
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,3,-4.090939491637834,-1.1363561755102736
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,3,-4.226592019438462,-0.986689047642615
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,3,-4.693685584426128,-0.8625433526177139
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,3,-4.900499318891155,-0.791094880539863
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,3,-5.149779577365923,-0.4184411062260082
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,3,-5.071396841058898,-0.017431153925760237
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,3,-5.521328681305546,0.3151394659607934
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,3,-5.655049323573314,0.9777002619244186
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,3,-5.827672175906108,1.5441657904802983
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,3,-5.880437634564141,2.152803630674411
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,3,-5.964440925575746,2.9723939589009136
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,3,-6.379485998568792,3.2565339769704544
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,3,-6.314623942006068,3.6837327437435885
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,3,-6.8757824199581385,4.051640504747378
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,3,-6.7494259092498075,4.289473235488187
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,3,-6.439807230062072,4.085275365537312
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,3,-6.464006834439527,4.002757120129953
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,3,-6.8011881541784245,3.8671465405421483
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1281,valid,3,-6.035509992546541,3.66456314402377
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1240,valid,3,-6.011709095127954,3.215329454151608
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,1316,valid,3,-6.125554575748289,2.7290862938356737
