bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,3,-13.539709953069353,-6.747964344173288
-10,-10B,String,1.0,-9,-9B,String,323055,valid,1,8.91016190107762,-4.004650990154256
-100,-100B,String,1.0,-99,-99B,String,51443,valid,1,9.080095397034315,-3.887218872910057
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,1,8.811019742739502,-4.137289078624196
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,1,9.189962545423759,-4.297373351781638
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,1,9.452244602076519,-4.333298992149328
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,1,9.52666666272285,-4.205791192493155
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,1,9.784225508267046,-3.9831491523564044
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,1,9.712885304459567,-3.6980709769763287
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,1,9.812833596706023,-3.341697598057785
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,1,10.00237296520875,-3.106872073134188
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,1,9.804437732017977,-2.9659040856262626
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,1,10.059883006117975,-2.773748115704641
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,1,10.576210485166555,-2.6210075990169917
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,1,10.684186993828492,-2.5256113417874397
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,1,10.98295978173931,-2.2935523554466797
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,1,11.191636528972724,-2.1962375346215963
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,1,11.50334368746216,-2.12146957450664
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,1,11.986466417305147,-1.830077687158573
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,1,12.196894226754763,-1.714229899378275
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,1,12.601151409433108,-1.5624599598388913
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,1,12.80187297113022,-1.4223504792951316
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,1,13.142761344732325,-1.228366879213547
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1281,valid,1,13.324724395383027,-1.0945763221958487
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1240,valid,1,13.459804973314013,-0.952453842882005
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,1316,valid,1,13.72836812100037,-0.7346220248325858
