bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,8,-0.592402777629124,4.0209777999124166
-10,-10B,String,1.0,-9,-9B,String,323055,valid,1,7.608093897596879,-2.4961590421666386
-100,-100B,String,1.0,-99,-99B,String,51443,valid,1,6.272911225761843,-2.1487801171764445
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,1,4.749342788417039,-1.6324404698707127
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,1,3.3345957124083774,-1.061311194932945
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,1,2.3370559557472723,-0.9710449567494471
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,1,2.0650621416962567,-0.8697899243775997
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,1,1.942135621619536,-0.9363741749669026
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,1,2.2939700448244014,-1.0727056624541604
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,1,2.648664298515423,-0.790171680856362
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,1,2.911722721854058,-1.0783399283714408
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,1,3.387323927909949,-1.2193308590877938
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,1,3.8802523549669825,-1.3166665743976338
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,1,4.421291501406655,-1.4443198995606552
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,1,5.020132402691526,-1.5975973961495356
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,1,5.712237858769359,-1.8508161331317128
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,1,6.36354946116323,-2.0962797598015346
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,1,7.098865919847446,-2.3314264794291204
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,1,7.8321171731749635,-2.6245952695021653
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,1,8.581773052266495,-2.942062780323575
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,1,9.741700487172318,-3.4665670243676296
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,1,9.953196759054029,-3.6047881722295716
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,1,10.447434021864959,-3.8973537206486757
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1281,valid,2,11.097629062671642,-4.299303227449733
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1240,valid,2,11.475150746909428,-4.53695797805771
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,1316,valid,2,11.76323655127275,-4.718747215612344
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,1290,valid,2,12.229100655763817,-4.9927426215788495
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,1266,valid,2,12.7013296262874,-5.236416816348594
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,1281,valid,2,13.092425772601555,-5.523153255101017
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,1205,valid,2,13.135630349497914,-5.7342516393896235
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,857,valid,2,13.372960781315392,-5.8307114045476744
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,332,valid,2,13.460159008924268,-6.1001663192455915
-100000000000000000000000000000000,-100000000000000000000000000000000B,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,String,69,valid,2,13.376011157104557,-6.086326956137674
9,9B,String,1.0,10,10B,String,915385,valid,7,-0.9734810443434849,4.056603369940147
99,99B,String,1.0,100,100B,String,133133,valid,9,-0.4065925008958312,4.183744327287156
9950,9.9 kB,String,1.0,9951,10.0 kB,String,25248,valid,3,-5.068823381149956,-20.43543490768295
9950000,9.9 MB,String,1.0,9950001,10.0 MB,String,11693,valid,3,-5.439476020474788,-20.806080868105838
9950000000,9.9 GB,String,1.0,9950000001,10.0 GB,String,4854,valid,3,-4.991477737716381,-20.35813806520489
9950000000000,9.9 TB,String,1.0,9950000000001,10.0 TB,String,4869,valid,3,-5.322797532319916,-20.689421195222234
9950000000000001999,9.9 EB,String,1.0,9950000000000002000,10.0 EB,String,1942,valid,3,-5.165714668046179,-20.532326163746283
9950000000000999,9.9 PB,String,1.0,9950000000001000,10.0 PB,String,4864,valid,3,-5.227585574932002,-20.59422182313102
999,999B,String,2.0,1000,1.0 kB,String,27846,valid,9,-0.42254018099151197,4.168491583407444
99949,99.9 kB,String,1.0,99950,100.0 kB,String,12010,valid,5,18.613698785468376,8.997595617560505
99949999,99.9 MB,String,1.0,99950000,100.0 MB,String,11325,valid,5,18.245496007135337,9.025036915350231
99949999999,99.9 GB,String,1.0,99950000000,100.0 GB,String,4985,valid,5,18.529717041360513,8.513368126979456
99949999999999,99.9 TB,String,1.0,99950000000000,100.0 TB,String,4988,valid,5,18.306571394188335,8.850948671608979
99949999999999991999,99.9 EB,String,1.0,99949999999999992000,100.0 EB,String,1674,valid,5,18.078519330564593,8.820261591921843
99949999999999999,99.9 PB,String,1.0,99950000000000000,100.0 PB,String,4978,valid,5,18.56656961781235,8.918405900605789
999949,999.9 kB,String,2.0,999950,1.0 MB,String,14899,valid,4,-0.7470151825285046,3.5656886692666547
999949999,999.9 MB,String,2.0,999950000,1.0 GB,String,8891,valid,4,-0.7544707854190693,3.501067849567207
999949999999,999.9 GB,String,2.0,999950000000,1.0 TB,String,5088,valid,4,-1.0146065426595021,3.996079645948942
999949999999999,999.9 TB,String,2.0,999950000000000,1.0 PB,String,4869,valid,4,-0.959480497989991,3.3967621777882386
999949999999999935999,999.9 EB,String,1.0,999949999999999936000,1000.0 EB,String,683,valid,5,18.205536742034724,8.500955501129866
999949999999999999,999.9 PB,String,2.0,999950000000000000,1.0 EB,String,4501,valid,4,-0.881986831132902,3.716530061868398
false,falseB,String,1.0,true,trueB,String,9821408,valid,6,18.528977524434538,9.04923950157789
-1000000000000000000000000000000000,-1000000000000000000000000000000000B,String,1.0,-999999999999999999999999999999999,-999999999999999999999999999999999B,String,3,valid,2,12.901967240684506,-6.038868446707663
