bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,7,0.4688211335673619,6.164248569685815
-10,-10B,String,1.0,-9,-9B,String,323055,valid,7,0.39707627524629385,5.342359054003763
-100,-100B,String,1.0,-99,-99B,String,51443,valid,1,0.6691520995039418,4.834208093392896
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,1,0.8956993770990218,4.672357800473321
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,1,0.9265130364723855,3.93588440522586
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,1,2.695285341483073,-7.5541662362049
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,1,2.9138965118802105,-7.749019574862787
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,6,2.9305390809707683,-7.82774078448106
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,6,3.132786273257751,-7.988844394923094
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,6,3.6090086844888263,-8.320896785183171
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,6,3.8356569278604864,-8.494460167531603
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,6,4.188617527288447,-8.559931202507997
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,6,4.399749406785546,-8.57445011287101
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,6,4.817486301072351,-8.79700013842359
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,6,4.954489718112072,-8.762203437526647
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,6,5.359624695568749,-9.067202683334852
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,6,5.680055045220233,-8.908575801411196
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,6,6.09265799869487,-9.00100386082362
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,6,6.533476831891754,-9.035666489951627
