bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,2,-3.3826098202373562,7.06731012202722
-10,-10B,String,1.0,-9,-9B,String,323055,valid,2,-3.479045921545536,6.309272552409384
-100,-100B,String,1.0,-99,-99B,String,51443,valid,2,-3.3812191561903933,5.128971174675682
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,2,-3.481935229634233,3.5611597154646186
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,2,-2.8772663996708774,2.0900893846589805
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,2,-4.080364413965073,1.3033952062540828
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,2,-3.8080969628659265,1.6090924396720558
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,2,-4.039508396450083,1.4574441728422818
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,2,-4.191059145287007,1.2299607545073368
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,2,-4.3540075205505415,1.5673723689277652
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,2,-3.843578233998449,2.11452118760522
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,2,-3.6489946896176875,2.481680838391817
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,2,-3.5305060907638244,2.9239150976915016
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,2,-3.6083983752155797,3.3528114059278002
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,2,-3.481231688818997,4.141782274078519
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,2,-3.3608214325680947,4.706402735506141
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,2,-3.319751190028984,5.234122883334283
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,2,-3.4465031626695013,5.600762825095028
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,2,-3.611239176657151,6.1406924486757815
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,2,-3.225368477632546,6.69196747018599
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,2,-3.192120072843586,7.263082167375231
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,2,-2.9061566669428567,7.446707296943164
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,2,-2.7799138310212888,7.734245305339675
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1281,valid,2,-2.6378713781758547,7.8133016056141305
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1240,valid,3,-2.3899361366951046,8.108170124157754
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,1316,valid,3,-2.084219547074298,8.524743891753438
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,1290,valid,3,-2.1921554185006773,8.430163864035837
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,1266,valid,3,-2.096035723867564,8.990964139428256
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,1281,valid,3,-1.8761288633951108,9.183539709466745
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,1205,valid,3,-2.236862236373104,9.328357184635339
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,857,valid,3,-2.428526522836301,9.543936003146902
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,332,valid,3,-1.9736608811284742,9.76111098475649
-100000000000000000000000000000000,-100000000000000000000000000000000B,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,String,69,valid,3,-2.117377381676868,9.672250730394257
9,9B,String,1.0,10,10B,String,915385,valid,2,-2.9522272482477883,7.0966978985997216
99,99B,String,1.0,100,100B,String,133133,valid,2,-3.296868740222355,6.147453219009372
9950,9.9 kB,String,1.0,9951,10.0 kB,String,25248,valid,1,10.023147077202328,-16.3990605972269
9950000,9.9 MB,String,1.0,9950001,10.0 MB,String,11693,valid,1,9.68761152778399,-16.105134440673126
9950000000,9.9 GB,String,1.0,9950000001,10.0 GB,String,4854,valid,1,9.900859672923863,-16.176605929481266
9950000000000,9.9 TB,String,1.0,9950000000001,10.0 TB,String,4869,valid,1,10.125678290806178,-15.990715515252688
9950000000000001999,9.9 EB,String,1.0,9950000000000002000,10.0 EB,String,1942,valid,1,10.321666707142073,-16.28326830273709
9950000000000999,9.9 PB,String,1.0,9950000000001000,10.0 PB,String,4864,valid,1,9.704771922786424,-16.65432817869139
999,999B,String,2.0,1000,1.0 kB,String,27846,valid,2,-3.4531124719312305,4.598450411304623
99949,99.9 kB,String,1.0,99950,100.0 kB,String,12010,valid,1,9.833438825271818,-15.782835077258985
99949999,99.9 MB,String,1.0,99950000,100.0 MB,String,11325,valid,1,9.401347047110981,-16.362888484257272
99949999999,99.9 GB,String,1.0,99950000000,100.0 GB,String,4985,valid,1,9.37515023026684,-15.940964425143006
99949999999999,99.9 TB,String,1.0,99950000000000,100.0 TB,String,4988,valid,1,9.734675815278697,-15.934974173448595
99949999999999991999,99.9 EB,String,1.0,99949999999999992000,100.0 EB,String,1674,valid,1,9.782258540058175,-16.5566015627496
99949999999999999,99.9 PB,String,1.0,99950000000000000,100.0 PB,String,4978,valid,1,10.022275770849523,-15.564719868996184
999949,999.9 kB,String,2.0,999950,1.0 MB,String,14899,valid,2,-2.663405432133217,2.172772450471407
999949999,999.9 MB,String,2.0,999950000,1.0 GB,String,8891,valid,2,-2.776302204189933,1.6218582720746608
999949999999,999.9 GB,String,2.0,999950000000,1.0 TB,String,5088,valid,2,-2.868379925345713,1.7508879539513555
999949999999999,999.9 TB,String,2.0,999950000000000,1.0 PB,String,4869,valid,2,-2.409851078684693,1.9668142185512492
999949999999999935999,999.9 EB,String,1.0,999949999999999936000,1000.0 EB,String,683,valid,1,9.324003340021504,-16.131200852330448
999949999999999999,999.9 PB,String,2.0,999950000000000000,1.0 EB,String,4501,valid,2,-2.456961608764973,1.9071895363429228
false,falseB,String,1.0,true,trueB,String,9821408,valid,1,9.57585998992036,-15.582976520775345
-1000000000000000000000000000000000,-1000000000000000000000000000000000B,String,1.0,-999999999999999999999999999999999,-999999999999999999999999999999999B,String,3,valid,3,-2.1666433838188186,9.764745219742716
