bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,2,7.946149245078609,8.157352163752655
-10,-10B,String,1.0,-9,-9B,String,323055,valid,1,-10.818353057180047,-5.565738663453741
-100,-100B,String,1.0,-99,-99B,String,51443,valid,1,-10.960025019167709,-5.390758310479993
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,1,-10.584505514180462,-5.4965534182514215
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,1,-10.92098508865551,-5.167436964690865
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,1,-11.259641555013646,-5.422255519352358
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,1,-11.395870437230512,-5.836409145034
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,1,-11.317848434273543,-6.0991040256906155
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,1,-11.516269551582248,-6.444065633159242
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,1,-11.722895031616224,-6.6113991130741905
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,1,-12.204551988276421,-6.416028677170302
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,1,-12.816951913528875,-6.20073952286704
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,1,-13.361497922738108,-5.957509759603767
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,1,-13.497540340063617,-5.19627349251266
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,1,-14.087337031535174,-4.763179918748981
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,1,-14.310784972016467,-4.408125481919488
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,1,-14.064686392758217,-3.865178591708269
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,1,-14.248659798373714,-3.330598417048486
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,1,-13.85024436915899,-2.9906234722282177
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,1,-14.0998513928206,-2.7515294676045103
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,1,-14.31801388912936,-3.023097942324356
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,1,-14.018425191345077,-2.8299305323894464
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,1,-14.014203266100925,-3.0720007345322515
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1281,valid,1,-13.817443240194478,-3.377103578241627
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1240,valid,1,-14.246292503699214,-3.9434479243657594
