bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,2,10.41076807560275,-4.935504175415675
-10,-10B,String,1.0,-9,-9B,String,323055,valid,1,-4.663518650840075,-2.6393778526044867
-100,-100B,String,1.0,-99,-99B,String,51443,valid,1,-4.461486152925499,-2.8251363502989233
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,1,-4.542518228284728,-2.9239084284346304
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,1,-4.02932171119362,-2.799891161632417
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,1,-3.9188802493810058,-2.602549708970092
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,1,-3.969434588637192,-2.374770193708437
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,1,-4.2101102106169925,-2.1964151109845873
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,1,-4.369036994431311,-1.9488982040677494
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,1,-4.72610533115727,-1.8603461589233696
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,1,-4.529586559332327,-1.315934727566248
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,1,-4.864281469445796,-1.1492519162151382
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,1,-5.237830861229301,-0.5367340149470766
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,1,-5.669509684178772,-0.29756260457396994
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,1,-5.751150593377013,0.4264140435120278
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,1,-6.082433348654412,0.7783421018734573
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,1,-5.72328626860746,1.3185087996890872
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,1,-6.045909033541329,1.665974731529511
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,1,-5.690605601362923,2.2629198818255984
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,1,-5.793936868595333,1.813138509934167
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,1,-5.719005220702259,2.25685347130181
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,1,-5.905964640264707,2.075852550476387
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,1,-6.184354052822487,2.127871935485463
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1281,valid,1,-6.319038842317383,1.9818742326809096
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1240,valid,1,-6.053505248540115,1.1752407542733492
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,1316,valid,1,-5.862850481702472,0.7624687709564822
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,1290,valid,1,-5.66955770060818,0.3648471290242048
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,1266,valid,1,-5.86504848869872,-0.015430502270645978
