bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,3,3.1661079233071105,12.535607005984737
-10,-10B,String,1.0,-9,-9B,String,323055,valid,1,-8.269611812943632,-10.003362368234091
-100,-100B,String,1.0,-99,-99B,String,51443,valid,1,-8.726675427437577,-10.24912022615518
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,1,-9.084916453704556,-9.996928258228788
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,1,-8.489808846289764,-10.08848724178786
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,1,-9.164412715888341,-10.731615225105141
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,1,-8.302604304174082,-9.457913652180522
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,1,-9.552219754128794,-9.598912307818345
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,1,-9.085002109775193,-9.211945832572782
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,1,-8.478535043624614,-9.516646320101408
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,1,-8.744796193714075,-10.816484585852315
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,1,-7.664412621574324,-10.066005854443535
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,1,-7.868190995342319,-9.800677603890703
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,1,-9.42617128297534,-10.636773520455982
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,1,-8.956751517658525,-9.529030824726577
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,1,-8.300328362447777,-9.786410631689485
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,1,-8.810881090811085,-10.52792739936761
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,1,-7.959659323901795,-10.423746247155188
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,1,-9.741750214306267,-10.420388281078358
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,1,-9.564650576061632,-9.179263026785005
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,1,-9.280512651730422,-10.29325392271105
