bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,3,9.247795762820338,3.061708596428346
-10,-10B,String,1.0,-9,-9B,String,323055,valid,3,8.514162042892854,3.06460842453727
-100,-100B,String,1.0,-99,-99B,String,51443,valid,3,8.042695827466225,2.9443513905167076
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,3,8.299862072560005,2.24539882636342
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,3,8.163015868685152,1.6216686939299396
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,1,7.246045637626116,-0.6946123719581851
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,1,6.9956206562482794,-1.2112318750526554
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,1,6.787146575428491,-1.5105205632742693
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,1,6.5630825445121905,-1.8379840199997324
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,1,6.764872997058779,-2.090133623804632
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,1,6.576643511594286,-2.3733904307331826
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,1,6.863667607674751,-2.8215993826972285
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,1,6.974564143098103,-3.2650455683207995
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,1,7.167796822245898,-3.850083264773604
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,1,7.691217772091623,-4.453531662809392
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,1,8.165709116378457,-4.8225088706096
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,1,8.730214428198936,-5.214921060108331
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,1,8.828706842431304,-5.789697120352151
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,1,9.163737331525379,-5.6281334222645585
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,1,8.959481307463864,-6.130198120933272
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,1,8.971735032213793,-6.17918963526631
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,1,9.354815219629879,-6.0557398532753535
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,1,9.339024499179928,-5.83329251658081
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1281,valid,1,9.039421610804904,-5.473668222396792
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1240,valid,1,8.62167163096039,-5.035439099898109
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,1316,valid,1,8.243888818885436,-4.709843551881011
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,1290,valid,1,8.065439932864345,-4.320484191574994
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,1266,valid,1,7.535367555525754,-4.058185785467258
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,1281,valid,1,7.200766426428516,-3.5451363633791693
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,1205,valid,1,7.264605046536985,-3.2780287496927243
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,857,valid,1,6.584933284604345,-3.0219947301197023
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,332,valid,1,6.348859824918225,-2.631184219941573
-100000000000000000000000000000000,-100000000000000000000000000000000B,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,String,69,valid,1,6.729702515394926,-2.509812581017145
9,9B,String,1.0,10,10B,String,915385,valid,3,9.169889815028828,3.385507138812458
99,99B,String,1.0,100,100B,String,133133,valid,3,9.002450631236472,3.0412424650036005
9950,9.9 kB,String,1.0,9951,10.0 kB,String,25248,valid,2,-15.503852496117501,-8.515317372391063
9950000,9.9 MB,String,1.0,9950001,10.0 MB,String,11693,valid,2,-15.686627571939859,-8.331929032556706
9950000000,9.9 GB,String,1.0,9950000001,10.0 GB,String,4854,valid,2,-15.429487247226884,-8.589907417642705
9950000000000,9.9 TB,String,1.0,9950000000001,10.0 TB,String,4869,valid,2,-15.356398299239144,-8.66310424283219
9950000000000001999,9.9 EB,String,1.0,9950000000000002000,10.0 EB,String,1942,valid,2,-15.461943028791067,-8.55750318178797
9950000000000999,9.9 PB,String,1.0,9950000000001000,10.0 PB,String,4864,valid,2,-15.179235211020236,-8.840743090852966
999,999B,String,2.0,1000,1.0 kB,String,27846,valid,3,8.895617480983876,2.861941049118311
99949,99.9 kB,String,1.0,99950,100.0 kB,String,12010,valid,2,-9.973264294035516,10.522832043710945
99949999,99.9 MB,String,1.0,99950000,100.0 MB,String,11325,valid,2,-9.65799076049971,10.838061672215664
99949999999,99.9 GB,String,1.0,99950000000,100.0 GB,String,4985,valid,2,-9.715630534951398,10.780407857132918
99949999999999,99.9 TB,String,1.0,99950000000000,100.0 TB,String,4988,valid,2,-9.741383064143283,10.754272272785334
99949999999999991999,99.9 EB,String,1.0,99949999999999992000,100.0 EB,String,1674,valid,2,-10.149876779821522,10.344287646309763
99949999999999999,99.9 PB,String,1.0,99950000000000000,100.0 PB,String,4978,valid,2,-9.93500187006883,10.561147902432854
999949,999.9 kB,String,2.0,999950,1.0 MB,String,14899,valid,3,8.412497906550598,2.4754880749037365
999949999,999.9 MB,String,2.0,999950000,1.0 GB,String,8891,valid,3,7.927244553623096,2.515494569761762
999949999999,999.9 GB,String,2.0,999950000000,1.0 TB,String,5088,valid,3,8.283283827950754,2.789263106773233
999949999999999,999.9 TB,String,2.0,999950000000000,1.0 PB,String,4869,valid,3,7.995887882196475,2.906150276699083
999949999999999935999,999.9 EB,String,1.0,999949999999999936000,1000.0 EB,String,683,valid,2,-9.972915042225763,10.52218876794482
999949999999999999,999.9 PB,String,2.0,999950000000000000,1.0 EB,String,4501,valid,3,8.193807867258997,2.1433308286008965
false,falseB,String,1.0,true,trueB,String,9821408,valid,3,9.478007024703297,3.492962962669074
-1000000000000000000000000000000000,-1000000000000000000000000000000000B,String,1.0,-999999999999999999999999999999999,-999999999999999999999999999999999B,String,3,valid,1,6.289393165435924,-2.1969879396994836
