bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,1,8.400048615960184,1.4876200006843368
-10,-10B,String,1.0,-9,-9B,String,323055,valid,3,-13.094322695290623,-1.0429945823476579
-100,-100B,String,1.0,-99,-99B,String,51443,valid,3,-12.913773493708378,-1.0807060494779843
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,3,-12.737840001547717,-1.224226518886382
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,3,-13.176932092500335,-1.279362760426711
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,3,-12.967322803287516,-1.6517304663678882
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,3,-12.846207645589251,-1.6605117210289573
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,3,-13.085371728462496,-1.910136578401062
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,3,-12.92961109089469,-2.284404063863278
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,3,-13.30093110938097,-2.206567461576616
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,3,-13.617128114752783,-2.5023611239501715
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,3,-13.442489613306057,-2.260747489808111
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,3,-14.00003333355781,-2.4451320825669103
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,3,-14.144462474096375,-2.70105658241963
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,3,-14.342847221799321,-2.5080532862687686
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,3,-14.33553219191114,-2.9981409414989493
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,3,-14.580929466128174,-2.961246837829015
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,3,-14.837900650424592,-3.27056389974624
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,3,-15.15848679718655,-3.2611400877474823
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,3,-15.21763980532173,-3.5726715771077653
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,3,-15.391609592710312,-3.3745851005080336
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,3,-15.625597741286931,-3.5992680542750697
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,3,-15.680181199130049,-3.911748061527669
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1281,valid,3,-15.986777516016607,-4.153771781353404
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1240,valid,3,-16.138743493398845,-4.290741972483614
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,1316,valid,3,-16.505904546408278,-4.423120986064845
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,1290,valid,3,-16.08586111026184,-4.656696404097339
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,1266,valid,3,-16.501470844445443,-4.855598946536432
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,1281,valid,3,-16.21469356889087,-4.980328844767157
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,1205,valid,3,-16.455888750645506,-5.162078895877547
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,857,valid,3,-16.36451486286494,-5.498918761693345
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,332,valid,3,-16.508889512897397,-5.685368545054948
-100000000000000000000000000000000,-100000000000000000000000000000000B,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,String,69,valid,3,-16.75532963357768,-5.429796171791952
9,9B,String,1.0,10,10B,String,915385,valid,1,8.21846819824922,1.2608120289660882
99,99B,String,1.0,100,100B,String,133133,valid,1,8.034079076489785,1.4967516805550756
9950,9.9 kB,String,1.0,9951,10.0 kB,String,25248,valid,2,1.0252038689046283,-36.71316677207826
9950000,9.9 MB,String,1.0,9950001,10.0 MB,String,11693,valid,2,0.990710196838483,-36.74745079596833
9950000000,9.9 GB,String,1.0,9950000001,10.0 GB,String,4854,valid,2,1.1921070496483344,-36.546208257435524
9950000000000,9.9 TB,String,1.0,9950000000001,10.0 TB,String,4869,valid,2,0.7979044536558542,-36.94129576455636
9950000000000001999,9.9 EB,String,1.0,9950000000000002000,10.0 EB,String,1942,valid,2,0.8930608157191694,-36.84562986811615
9950000000000999,9.9 PB,String,1.0,9950000000001000,10.0 PB,String,4864,valid,2,0.7500986253724837,-36.98911867620793
999,999B,String,2.0,1000,1.0 kB,String,27846,valid,1,8.4142315624716,1.140497366749256
99949,99.9 kB,String,1.0,99950,100.0 kB,String,12010,valid,2,3.9179538121668673,15.309492659138298
99949999,99.9 MB,String,1.0,99950000,100.0 MB,String,11325,valid,2,3.8897610363357926,15.590856241296569
99949999999,99.9 GB,String,1.0,99950000000,100.0 GB,String,4985,valid,2,4.006192662746242,15.806279327815817
99949999999999,99.9 TB,String,1.0,99950000000000,100.0 TB,String,4988,valid,2,3.7326853701982112,15.389345132508488
99949999999999991999,99.9 EB,String,1.0,99949999999999992000,100.0 EB,String,1674,valid,2,4.189402225904723,15.402006005642692
99949999999999999,99.9 PB,String,1.0,99950000000000000,100.0 PB,String,4978,valid,2,3.8161164656168065,15.675815144191308
999949,999.9 kB,String,2.0,999950,1.0 MB,String,14899,valid,1,8.74654033899742,1.8186376027860591
999949999,999.9 MB,String,2.0,999950000,1.0 GB,String,8891,valid,1,9.026940916331007,1.4726240959984624
999949999999,999.9 GB,String,2.0,999950000000,1.0 TB,String,5088,valid,1,8.942055998351377,1.6315336864535352
999949999999999,999.9 TB,String,2.0,999950000000000,1.0 PB,String,4869,valid,1,8.8648682818398,1.6675485808187955
999949999999999935999,999.9 EB,String,1.0,999949999999999936000,1000.0 EB,String,683,valid,2,3.5646261755216764,15.709579512787965
999949999999999999,999.9 PB,String,2.0,999950000000000000,1.0 EB,String,4501,valid,1,8.807592162046923,1.8914845807348128
false,falseB,String,1.0,true,trueB,String,9821408,valid,1,7.768325306876071,1.2203262361491682
