bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,3,2.568036420408671,-0.1584287054237058
-10,-10B,String,1.0,-9,-9B,String,323055,valid,1,2.9384835653331733,17.593235628727896
-100,-100B,String,1.0,-99,-99B,String,51443,valid,1,2.3366803208024067,17.00711942050155
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,1,2.0117057715229882,16.232850456242723
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,1,2.17994433652062,15.065872285895367
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,1,1.9653327479184777,14.114978663179347
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,1,2.2250770593311784,14.00352475478423
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,1,2.0064312623109655,14.361812560463093
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,1,1.7802950138517368,14.26631706731775
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,1,2.0371515044369692,14.100672524912568
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,1,2.130054217888459,14.739117649409955
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,1,1.9931882677014983,15.111151010286399
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,1,2.0963730180842073,15.443974703333502
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,1,1.9516870898696226,15.883040285228956
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,1,2.191131265258336,16.126251551885463
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,1,2.1437912812973803,16.513238226084624
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,1,2.177332432626963,16.899223203961853
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,1,2.4800841172876695,17.254915106394268
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,1,2.7468532125806493,17.456210624002406
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,1,3.292160485932885,17.636104440431275
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,1,3.523229206086754,17.77214873789434
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,1,3.7201594944411607,17.946842869197173
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,1,4.03244488393238,18.058013610170388
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1281,valid,1,4.247537918924972,18.166733883448668
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1240,valid,4,4.562246645950227,18.27834883964741
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,1316,valid,4,4.857195874945888,18.14349365625335
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,1290,valid,4,5.078730663135737,18.379996106531316
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,1266,valid,4,5.398289967880713,18.382153583087838
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,1281,valid,4,5.611780432447032,18.172166165289042
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,1205,valid,4,5.809061149929589,18.184863518335394
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,857,valid,4,6.015065679061273,17.959690324709825
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,332,valid,4,5.8934665645016695,17.76729347962431
-100000000000000000000000000000000,-100000000000000000000000000000000B,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,String,69,valid,4,5.7712029975061165,17.725324425960906
9,9B,String,1.0,10,10B,String,915385,valid,3,2.589936637720987,0.12258381903470264
99,99B,String,1.0,100,100B,String,133133,valid,3,2.316817291876212,0.020085625673640445
9950,9.9 kB,String,1.0,9951,10.0 kB,String,25248,valid,2,-0.7533994635604077,-4.754817077355376
9950000,9.9 MB,String,1.0,9950001,10.0 MB,String,11693,valid,2,-0.8252555873602532,-4.876355089636698
9950000000,9.9 GB,String,1.0,9950000001,10.0 GB,String,4854,valid,2,-0.5593146766454473,-4.650230355148696
9950000000000,9.9 TB,String,1.0,9950000000001,10.0 TB,String,4869,valid,2,-0.8453375624600389,-4.998465077162777
9950000000000001999,9.9 EB,String,1.0,9950000000000002000,10.0 EB,String,1942,valid,2,-0.48843092506811436,-5.029471561735975
