bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,3,-1.6428628705455448,0.6686062089898457
-10,-10B,String,1.0,-9,-9B,String,323055,valid,3,-2.045134251647245,0.935535360375381
-100,-100B,String,1.0,-99,-99B,String,51443,valid,3,-2.3795223368978684,0.769071987988288
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,3,-2.670096470132567,0.4787128830335029
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,3,-3.5206820547452633,0.6032758461297026
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,1,-6.690386001324795,-0.38992300783497086
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,1,-7.131261814446779,-0.5877399660310023
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,1,-7.4221690957655895,-0.7679655666192128
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,1,-7.65949697396648,-0.959770829649431
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,1,-7.909661037702582,-1.2219571430628455
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,1,-7.944963976370458,-1.3176169069095407
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,1,-8.287495247694265,-1.4027070957158794
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,1,-8.352856909816612,-1.949386709732525
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,1,-8.513742347384815,-1.6329498354033727
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,1,-8.65698849615899,-1.9717028022117953
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,1,-8.848641924114744,-2.2118684941361684
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,1,-9.034636739162249,-2.178981223608395
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,1,-9.04479337893127,-2.3231088410311695
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,1,-8.9725986796532,-2.6351935278879837
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,1,-9.370770022012985,-2.6137334901992517
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,1,-9.304086757974133,-3.0265414018222043
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,1,-9.643471168728702,-3.1709304529268834
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,1,-9.521675828130297,-3.5977448973085577
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1281,valid,1,-9.88120021777913,-3.3835269217562596
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1240,valid,4,-10.266732466101757,-3.4438794389516056
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,1316,valid,4,-10.169478662575212,-3.5959245249840164
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,1290,valid,4,-10.52042402757445,-3.5904161923809954
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,1266,valid,4,-10.45998688205155,-4.057186535944907
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,1281,valid,4,-10.747657936684792,-3.986436347412398
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,1205,valid,4,-10.59434509366757,-4.419943695060296
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,857,valid,4,-10.79313708714065,-4.5415049731411665
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,332,valid,4,-10.943857833898605,-4.696750587957807
-100000000000000000000000000000000,-100000000000000000000000000000000B,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,String,69,valid,4,-10.879984237681077,-4.204913137678572
9,9B,String,1.0,10,10B,String,915385,valid,3,-1.5033954330068466,0.9241265015752785
99,99B,String,1.0,100,100B,String,133133,valid,3,-1.6370513236906208,0.9687803981864551
9950,9.9 kB,String,1.0,9951,10.0 kB,String,25248,valid,2,11.731796421029586,5.39722795408397
9950000,9.9 MB,String,1.0,9950001,10.0 MB,String,11693,valid,2,11.46904621485358,5.133914370080605
9950000000,9.9 GB,String,1.0,9950000001,10.0 GB,String,4854,valid,2,11.369853875039322,5.034621842755101
9950000000000,9.9 TB,String,1.0,9950000000001,10.0 TB,String,4869,valid,2,11.71627906699777,5.3810729777593185
9950000000000001999,9.9 EB,String,1.0,9950000000000002000,10.0 EB,String,1942,valid,2,11.604077248501884,5.268901765560277
9950000000000999,9.9 PB,String,1.0,9950000000001000,10.0 PB,String,4864,valid,2,11.906564486871451,5.570958350058785
999,999B,String,2.0,1000,1.0 kB,String,27846,valid,3,-1.861783742800131,0.9059009745267956
99949,99.9 kB,String,1.0,99950,100.0 kB,String,12010,valid,2,1.8420774078856392,-3.3139294701129414
99949999,99.9 MB,String,1.0,99950000,100.0 MB,String,11325,valid,2,1.847867840527224,-2.940466196845162
99949999999,99.9 GB,String,1.0,99950000000,100.0 GB,String,4985,valid,2,1.610975190659506,-3.0554501268198977
99949999999999,99.9 TB,String,1.0,99950000000000,100.0 TB,String,4988,valid,2,1.5584103455533322,-3.171105803762418
99949999999999991999,99.9 EB,String,1.0,99949999999999992000,100.0 EB,String,1674,valid,2,1.4039874088160413,-2.812527930994702
99949999999999999,99.9 PB,String,1.0,99950000000000000,100.0 PB,String,4978,valid,2,1.4871654237886132,-2.869980694140235
999949,999.9 kB,String,2.0,999950,1.0 MB,String,14899,valid,3,-2.7567343100226775,0.9095407533494251
999949999,999.9 MB,String,2.0,999950000,1.0 GB,String,8891,valid,3,-2.6134498412671316,0.5390950759019522
999949999999,999.9 GB,String,2.0,999950000000,1.0 TB,String,5088,valid,3,-2.935804647412143,0.6685066944236565
999949999999999,999.9 TB,String,2.0,999950000000000,1.0 PB,String,4869,valid,3,-2.817091563561265,0.32613346938013577
999949999999999935999,999.9 EB,String,1.0,999949999999999936000,1000.0 EB,String,683,valid,2,1.950504460967744,-3.2768662377539006
999949999999999999,999.9 PB,String,2.0,999950000000000000,1.0 EB,String,4501,valid,3,-3.0195045960303037,0.4876063606587332
false,falseB,String,1.0,true,trueB,String,9821408,valid,3,-1.262997903773682,0.794454909251713
-1000000000000000000000000000000000,-1000000000000000000000000000000000B,String,1.0,-999999999999999999999999999999999,-999999999999999999999999999999999B,String,3,valid,4,-10.984074943860426,-4.391922030529866
