bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,1,2.1473447176538785,-5.6590107012647675
-10,-10B,String,1.0,-9,-9B,String,323055,valid,1,2.720360349730875,-5.325461076857637
-100,-100B,String,1.0,-99,-99B,String,51443,valid,1,3.842689985663872,-4.924454714680037
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,1,5.725494383320596,-4.34626949766802
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,1,8.011700877538527,-3.8298786621974563
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,1,7.234122932420004,-2.779640616280551
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,1,7.206416461821095,-2.68271969724218
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,1,7.4341801907244,-2.5413451644309815
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,1,7.052332550496329,-2.6714354098329616
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,1,6.775318613103691,-2.99921423021307
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,1,6.977608669930372,-3.1548178681805474
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,1,6.859456895068977,-3.658836198019267
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,1,6.448668801431085,-3.903378062065862
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,1,5.885978808847358,-4.192675253495897
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,1,5.356922890462384,-4.477185367685082
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,1,4.824500951542668,-4.682992723965907
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,1,4.197545073547185,-4.645322437145236
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,1,3.3528612053171685,-4.990325185129819
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,1,2.917457218252974,-5.120363643306647
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,1,2.2461682119022655,-5.3594493140104476
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,1,1.89689006862811,-5.872529804330138
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,1,1.3660512056940453,-5.927579210380038
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,1,0.8932078494045078,-6.119141931038331
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1281,valid,1,0.6916104283938204,-6.212278896992952
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1240,valid,3,0.38660177758225905,-5.9886836452266
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,1316,valid,3,0.1301899945107014,-6.264473790916649
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,1290,valid,3,-0.12561297552192213,-6.026769955310399
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,1266,valid,3,-0.4303555624455948,-6.296808117283625
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,1281,valid,3,-0.751225726931109,-6.300770655721765
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,1205,valid,3,-0.7358584280856331,-6.6535788646880665
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,857,valid,3,-1.125061566883749,-6.335303696089765
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,332,valid,3,-1.2018069832943934,-6.718454107425952
