id,score,nclust
sl_u-lv_u,0.5956439,4
lv_d-sl_u-lv_u,0.61069685,4
jc_d-sl_u-lv_u,0.61864567,7
sl_u-jc_u-lv_u,0.62127334,2
jc_d-lv_d-sl_u-lv_u,0.62151855,6
sl_d-sl_u-lv_u,0.62863046,5
jc_d-sl_u-jc_u-lv_u,0.63584113,3
lv_d-sl_u-jc_u-lv_u,0.6364145,3
sl_d-sl_u-jc_u-lv_u,0.6374419,5
jc_d-lv_d-sl_u-jc_u-lv_u,0.6502396,3
sl_d-lv_d-sl_u-lv_u,0.65113705,5
sl_d-jc_d-lv_d-sl_u-lv_u,0.6543708,7
sl_d-jc_d-sl_u-lv_u,0.66014904,6
sl_d-jc_d-sl_u-jc_u-lv_u,0.68405104,4
sl_d-lv_d-sl_u-jc_u-lv_u,0.68497443,4
sl_d-jc_d-lv_d-sl_u-jc_u-lv_u,0.6958047,4
lv_d-sl_u-jc_u,0.7174726,4
jc_d-sl_u-jc_u,0.7227574,9
sl_u-jc_u,0.72772735,3
lv_d-sl_u,0.73180175,3
jc_d-lv_d-sl_u-jc_u,0.7330545,6
jc_d-sl_u,0.73407763,3
sl_d-sl_u-jc_u,0.7346777,4
sl_d-lv_d-sl_u-jc_u,0.7362835,7
jc_d-lv_d-sl_u,0.7367384,3
sl_d-lv_d-sl_u,0.74322027,4
sl_d-jc_d-sl_u,0.7455027,4
sl_d-jc_d-lv_d-sl_u,0.747228,4
sl_d-jc_d-lv_d-sl_u-jc_u,0.74805987,7
sl_d-sl_u,0.75242615,3
sl_d-jc_d-sl_u-jc_u,0.7529462,7
lv_d-lv_u,0.7542404,3
jc_d-lv_u,0.76361394,4
jc_d-lv_d-lv_u,0.7641241,5
jc_u-lv_u,0.7671901,2
sl_d-lv_u,0.772575,4
sl_d-jc_u-lv_u,0.77427727,4
lv_d-jc_u-lv_u,0.7752938,3
jc_d-jc_u-lv_u,0.7775522,4
jc_d-lv_d-jc_u-lv_u,0.78583735,5
sl_d-jc_d-lv_d-lv_u,0.7881175,6
sl_d-lv_d-lv_u,0.79011106,4
sl_d-jc_d-lv_u,0.7982969,5
sl_d-lv_d-jc_u-lv_u,0.81501913,4
sl_d-jc_d-jc_u-lv_u,0.815851,5
sl_d-jc_d-lv_d-jc_u-lv_u,0.82307893,6
lv_d-jc_u,0.9225691,6
sl_d-lv_d-jc_u,0.9284642,7
jc_d-lv_d-jc_u,0.93666774,5
sl_d-jc_d-lv_d-jc_u,0.9404343,6
jc_d-jc_u,0.94186693,5
sl_d-jc_u,0.9420726,3
sl_d-jc_d-jc_u,0.94730777,6
jc_d-lv_d,0.96597403,4
sl_d-jc_d-lv_d,0.96597403,5
sl_d-lv_d,0.96662414,5
sl_d-jc_d,0.98214287,5
