bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,4,-6.345654010673501,18.84106503863696
-10,-10B,String,1.0,-9,-9B,String,323055,valid,1,0.4832659582481674,-5.269014804749722
-100,-100B,String,1.0,-99,-99B,String,51443,valid,1,0.632395802634245,-5.450257692700481
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,1,0.3473020152460736,-5.463752718089912
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,1,0.5102133771638752,-5.719559190174737
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,1,0.9509102049744482,-5.521764977671328
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,1,1.1524141516267832,-5.8761510000822135
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,1,1.4481590216095628,-5.650424675231602
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,1,1.696172664240135,-5.993595274916035
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,1,1.950302157437976,-5.762437612529639
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,1,2.1465666101557415,-5.536390339268619
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,1,2.730499950522477,-5.62393640904353
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,1,3.404482961274476,-5.45367021970914
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,1,3.76171809752477,-5.292220042533932
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,1,4.388169185028242,-5.385921336901746
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,1,4.789454732125574,-5.775550006876934
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,1,5.282753977961326,-6.207553709465363
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,1,5.413665211265404,-6.776285386166732
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,1,5.85007504513115,-6.998277424811124
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,1,5.612523798836414,-7.129674558656517
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,1,5.7464510067833965,-7.451844328060864
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,1,5.46707216723925,-7.309178965479294
