bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,4,-9.695362736614191,-15.591271335241846
-10,-10B,String,1.0,-9,-9B,String,323055,valid,1,-1.2556373714235525,-1.266907571031097
-100,-100B,String,1.0,-99,-99B,String,51443,valid,1,-1.7296467367452768,-1.5182105825363015
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,1,-1.5046392237798096,-0.19639989105600608
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,1,-1.4986727473322152,-1.369743906883553
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,1,-1.773293606917606,-1.0277725010037873
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,1,-0.7308301111982818,-1.6977349862383198
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,1,-0.8033144794783839,-1.4018238629223376
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,1,-1.900897894833483,-2.003550295641784
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,1,-0.7337481160061063,-0.771426857015939
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,1,-1.59093746917739,-0.4475933980568312
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,1,-0.870001551945593,-1.1395505601064713
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,1,-1.1421594179812462,-1.4383931766785525
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,1,-1.7165997617624944,-0.8659960375917376
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,1,-1.319868585034106,-0.4418353781135272
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,1,-2.5690296227030927,-1.110567893159129
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,1,-0.24956757566038343,-1.8786969946043635
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,1,-2.2552109914937533,-1.6486529571034347
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,1,-2.133144720724888,-1.1001811550698517
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,1,-1.1571920127598083,-2.2826565668983796
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,1,-1.6018590745936334,-2.2752278648728277
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,1,-0.882472288705306,-1.622927533065031
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,1,-1.8090714854609247,-1.7025732091724557
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1281,valid,1,-0.33073802692940973,-0.718289173764087
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1240,valid,1,-0.7935947274850678,-0.3544493014796892
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,1316,valid,1,-0.9974787777686548,-2.057654031072521
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,1290,valid,1,-1.1533331254985235,-0.5869522707609685
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,1266,valid,1,-2.2270841352003075,-0.5353896622537235
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,1281,valid,1,-1.983654256833879,-0.3715933798342642
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,1205,valid,1,-0.27988805368431885,-1.3294221544493434
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,857,valid,1,-0.4432850576202248,-1.0563430910984724
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,332,valid,1,-1.0298146718892307,-1.0191288347584335
-100000000000000000000000000000000,-100000000000000000000000000000000B,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,String,69,valid,1,-1.4188310063306588,-0.9680685025388208
