bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,4,-2.118623590563255,-10.293375734353567
-10,-10B,String,1.0,-9,-9B,String,323055,valid,3,-0.016658450584303416,11.974774455809856
-100,-100B,String,1.0,-99,-99B,String,51443,valid,3,-0.0700212608240498,12.076476039069577
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,3,0.14443800318571803,12.042253802138449
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,3,-0.014620955864284699,12.389313101312705
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,3,0.22991262918848787,12.63291838223147
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,3,-0.05050997305944206,12.850116691839192
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,3,-0.30306666431711804,12.913212053210255
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,3,-0.6449978251237194,13.178003019147642
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,3,-0.38895862477460696,13.598909976536156
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,3,-0.36929235057746584,13.956027710039832
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,3,-0.37113833689983605,14.585924655305734
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,3,-0.24776842117878256,15.060034144174852
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,3,-0.4840319002429171,15.736055836558199
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,3,-0.7931646553296982,16.72220216744703
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,3,-1.004087423549192,17.193989180578907
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,3,-1.4309805987523467,17.676460743118742
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,3,-1.7745742943831575,18.010335186164184
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,3,-1.9595290541486217,18.544049577314667
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,3,-1.665859377373977,18.460601507491237
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,3,-1.59504156510485,18.72115602599933
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,3,-1.7914388171240223,18.525319039309668
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,3,-2.0399304379126466,18.415570527625405
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1281,valid,3,-1.9570940234892118,17.957638289173843
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1240,valid,3,-1.3647127305173807,17.616291703348786
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,1316,valid,3,-1.1087592088777327,17.281840493013405
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,1290,valid,3,-0.6893533421363253,16.56096626193771
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,1266,valid,3,-0.6505755537294041,16.06417917834216
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,1281,valid,3,-0.40799941749523866,15.301391379120066
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,1205,valid,3,-0.3614125491231882,14.806345033653848
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,857,valid,3,-0.10511038995173927,14.395623219464339
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,332,valid,3,-0.15114598040141114,14.074732237763017
-100000000000000000000000000000000,-100000000000000000000000000000000B,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,String,69,valid,3,-0.6596555003135102,13.698553888073077
