bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,5,-1.6011583303041383,5.00568616951852
-10,-10B,String,1.0,-9,-9B,String,323055,valid,1,-1.9123267904410863,-5.304467253226458
-100,-100B,String,1.0,-99,-99B,String,51443,valid,1,-1.8247360184412091,-5.761317685605062
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,1,-1.6520712350197653,-4.5936121917656125
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,1,-2.3549415681170527,-5.227472784726836
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,1,-2.4910359221289395,-5.910306242150208
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,1,-2.14017702746873,-5.561073258963805
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,1,-1.6204350695840308,-5.4753763502697765
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,1,-1.6934834177195572,-6.202705990080543
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,1,-1.218661047303595,-6.033738925092185
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,1,-1.0584275245398722,-5.196898224609312
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,1,-0.7554572609752339,-6.076721356447092
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,1,-1.9950351678100102,-4.96020966589074
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,1,-2.40972446710855,-6.406373312313255
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,1,-0.8025215481677772,-5.651008247669732
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,1,-1.229498306904212,-5.116085712583144
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,1,-0.5977809552539318,-5.787909036066844
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,1,-1.4144364759634889,-5.96395732841503
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,1,-1.7279059495594333,-6.466614860320729
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,1,-2.7669375328326256,-5.343531271736923
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,1,-2.248597837753405,-4.582975399280063
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,1,-1.6151846945383501,-5.307684085101577
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,1,-0.7258229866918997,-5.208110466002087
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1281,valid,1,-1.587163635217226,-4.891986618684402
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1240,valid,1,-2.100053902914869,-6.221883298847535
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,1316,valid,1,-2.6060605648654787,-4.804861532153462
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,1290,valid,1,-1.376457868983692,-4.549340974655811
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,1266,valid,1,-1.1673021395998378,-5.743045216865897
