bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,6,1.5921603301870266,-7.559163582396253
-10,-10B,String,1.0,-9,-9B,String,323055,valid,6,1.2335316011423845,-7.667580649261061
-100,-100B,String,1.0,-99,-99B,String,51443,valid,6,1.0764973744505932,-7.760886536094175
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,6,0.8761952585477328,-7.548023006821076
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,6,0.5454017382526147,-7.380342038165747
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,1,0.343668849513412,-7.051904031748237
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,1,0.11836093416246668,-6.792734993862162
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,1,-0.06594448666216363,-6.571940222790365
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,1,-0.3639335050385946,-6.2585564987804645
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,1,-0.48528787935636336,-6.055732933517858
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,1,-1.0018213970995375,-5.520713410366264
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,1,-1.489532713228844,-5.485924511535022
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,1,-2.5107222830551983,-5.666708607207094
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,1,-3.0397730201865722,-5.610151740463717
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,1,-3.7345487747920934,-5.758604019218941
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,1,-4.232163653716002,-5.9122788473259735
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,1,-4.633734643814227,-5.870478989260179
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,1,-5.063090782302016,-5.465519487434886
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,1,-5.666353465943765,-5.53720367237095
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,1,-5.91812590396149,-5.420110421993581
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,1,-5.6610554456861975,-5.7247333444456805
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,1,-5.783841887758155,-5.575188462858624
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,1,-5.411050752041917,-5.3249521297584925
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1281,valid,1,-5.114879908388717,-5.551155611700896
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1240,valid,1,-4.66148669127988,-5.697351942354231
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,1316,valid,1,-4.025156601693678,-5.785430909697664
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,1290,valid,1,-3.6294684069649588,-5.630886911381545
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,1266,valid,1,-3.287079744865315,-5.914072792197902
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,1281,valid,1,-2.8437529550389216,-5.7275878346264095
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,1205,valid,1,-2.1525946496064985,-5.446182183407841
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,857,valid,1,-1.642042691941121,-5.618470917258818
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,332,valid,1,-0.9692501155520294,-5.575628573592028
-100000000000000000000000000000000,-100000000000000000000000000000000B,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,String,69,valid,1,-0.7172468195919425,-5.823348089339237
9,9B,String,1.0,10,10B,String,915385,valid,6,1.5219589943282532,-7.70485905271933
99,99B,String,1.0,100,100B,String,133133,valid,6,1.4258002736153277,-7.30720750899942
