bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,3,-10.00435874567184,5.036722516490301
-10,-10B,String,1.0,-9,-9B,String,323055,valid,1,9.711954868859374,-5.723232232953694
-100,-100B,String,1.0,-99,-99B,String,51443,valid,1,9.45637887952845,-5.50794011586607
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,1,9.301656951516424,-5.843333338336232
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,1,9.603267535398315,-6.0492655919497915
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,1,9.796826349257778,-6.186379245815571
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,1,9.955774132339949,-6.370665436532664
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,1,10.234423427307554,-5.9181343454043365
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,1,10.510813086644218,-6.150468169776058
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,1,10.453926486079014,-6.288235421456676
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,1,10.831145235196262,-6.26252259090923
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,1,10.82599645317493,-6.478752537565109
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,1,11.111416678152162,-6.753656816131277
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,1,11.1656876017151,-6.86980622052683
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,1,11.288754592857995,-7.011300075975148
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,1,11.654868055304487,-7.42840943860205
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,1,11.460736081420428,-7.3312818868384255
