bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,5,7.6485630122309045,4.6331068822631165
-10,-10B,String,1.0,-9,-9B,String,323055,valid,4,-4.062104564405718,0.04068874333207362
-100,-100B,String,1.0,-99,-99B,String,51443,valid,4,-3.4847278783852995,-0.9727946480059432
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,4,-2.6192061428150692,-2.4845754388297845
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,4,-1.7446115701963634,-4.020119265952659
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,4,-1.1678825671540256,-4.762252596957901
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,4,-0.838543204858999,-4.721346994802364
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,4,-0.9399767537223248,-4.890639409892494
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,4,-1.238749699020803,-4.933837456013927
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,4,-1.2162228826708283,-4.538093154965855
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,4,-1.4113070623777746,-4.330205840227131
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,4,-1.8492262936097146,-3.9124435811477545
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,4,-2.0186534974856123,-3.608107018354824
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,4,-2.3731303204808007,-2.923327183423481
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,4,-2.7978722430060508,-2.1420783291777474
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,4,-3.118417143598891,-1.5447369628967496
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,4,-3.342774757770783,-1.1137667154099267
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,4,-3.6404634792450077,-0.6524303316734306
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,4,-3.867081461535981,-0.11002539231758728
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,4,-4.343040757211281,0.48535977483239007
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,4,-4.666174693937005,0.9062884591664973
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,4,-4.930174971314159,1.2694834205037075
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,4,-5.29395264772439,1.7582685783882648
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1281,valid,4,-5.514941248320588,2.0685951269672187
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1240,valid,2,-5.913121969601308,2.523968951681672
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,1316,valid,2,-6.189268194436519,2.832034702111782
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,1290,valid,2,-6.467268979534904,3.000692160701575
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,1266,valid,2,-6.709055299946306,2.900575341217173
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,1281,valid,2,-7.063585133366451,3.202518688709959
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,1205,valid,2,-6.947017523537764,3.392635168046266
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,857,valid,2,-7.3320059319144875,3.546523506433065
