bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,5,-0.9422313706519497,-8.742366930923888
-10,-10B,String,1.0,-9,-9B,String,323055,valid,5,-0.8988162845530655,-8.9554637135565
-100,-100B,String,1.0,-99,-99B,String,51443,valid,5,-0.6745356272644789,-9.452718308816939
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,5,-0.4689837142776983,-9.891175257060878
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,3,-0.3054010668561344,-10.243921735067975
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,3,-0.1423263633023609,-10.399452815002455
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,3,-0.31676866978588253,-10.683128568650101
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,3,0.1370018753707493,-10.861702176986299
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,3,0.16861306671145362,-11.002596814084518
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,3,0.21999510439864442,-11.513514136526247
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,3,0.4630041532097608,-11.556124964625733
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,3,0.5908437681770656,-12.002485361324306
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,3,0.8988718275734382,-12.349323665541295
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,3,1.112785612282059,-12.557685419339004
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,3,1.4260315196908722,-12.809700722809836
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,3,1.8765712238920378,-13.100423667201028
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,3,2.3429014382985747,-13.375621418264167
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,3,2.742810913075533,-13.556451528928433
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,3,2.981797009784924,-13.594573365783726
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,3,3.24365125835447,-13.452004280815041
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,3,3.326113684691303,-13.697951990051976
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,3,3.640536351921356,-13.653614104828273
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,3,4.051633069559361,-13.582427270089523
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1281,valid,7,4.2807131536149345,-13.67610402120426
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1240,valid,7,4.676606243276369,-13.510444906573932
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,1316,valid,7,4.999464094077071,-13.397407843663192
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,1290,valid,7,5.346387603412497,-13.230457800592577
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,1266,valid,7,5.406649945210949,-13.184659206084223
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,1281,valid,7,5.726632326094475,-13.290840413123377
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,1205,valid,7,5.995222340337693,-13.516040782560406
