bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,3,-10.52136622984114,11.856707726127228
-10,-10B,String,1.0,-9,-9B,String,323055,valid,3,-10.974322552096442,10.854187855426666
-100,-100B,String,1.0,-99,-99B,String,51443,valid,3,-10.442798515802513,9.611451292448853
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,3,-10.094683403616797,8.409480337080957
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,3,-9.72198151154763,7.0463365638181505
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,3,-9.57362804083053,6.458447887087484
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,3,-9.945341231430131,6.3751356839542295
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,3,-9.430349033770833,6.578214438953752
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,3,-9.610140811333718,6.131670668196755
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,3,-9.752301346346698,6.276055759073322
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,3,-9.916621009283391,6.892671653061729
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,3,-9.562961909168443,7.36789544124601
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,3,-9.868293016877336,7.649501619222561
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,3,-9.945821171413222,8.043898770538826
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,3,-10.236614937479715,8.628941829749493
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,3,-10.348668884674966,9.139118904200856
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,3,-10.657897012950517,9.95806997736418
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,3,-10.829397548214214,10.402903878122912
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,3,-10.847702283008449,10.921782291207567
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,3,-10.98764210459556,11.439720175488404
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,3,-10.814643328603928,11.961873674287554
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,3,-10.892506209350374,12.312575715766826
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,3,-10.76458564215222,12.729252067361962
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1281,valid,3,-10.693412628408066,13.133865116937299
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1240,valid,4,-10.48069340879533,13.294967171170905
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,1316,valid,4,-10.648834690417555,13.601415062840424
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,1290,valid,4,-10.415169844554542,13.927530126301354
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,1266,valid,4,-10.384051351020473,14.16560508912838
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,1281,valid,4,-10.750989295627138,14.150428679754224
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,1205,valid,4,-10.989807543081731,14.3816462894133
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,857,valid,4,-11.098438890905669,14.63242632696895
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,332,valid,4,-10.776716093861937,14.680665149318713
-100000000000000000000000000000000,-100000000000000000000000000000000B,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,String,69,valid,4,-10.650903371486192,14.896786943150609
9,9B,String,1.0,10,10B,String,915385,valid,3,-10.995397139468329,11.799758166578657
99,99B,String,1.0,100,100B,String,133133,valid,3,-11.303634080327306,10.835097118882011
9950,9.9 kB,String,1.0,9951,10.0 kB,String,25248,valid,2,-18.87441388590605,-14.807252151437698
