bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,3,-4.035637170291191,-11.949797920440155
-10,-10B,String,1.0,-9,-9B,String,323055,valid,3,-4.0554478061155494,-11.099628530365795
-100,-100B,String,1.0,-99,-99B,String,51443,valid,3,-4.979652644871976,-12.49964669747631
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,3,-4.23552032517754,-11.493919097576198
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,3,-4.301919237213059,-12.548123452211234
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,3,-4.423279377748154,-11.704959402715588
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,3,-4.448369998309187,-12.107757423159581
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,3,-5.652481796676288,-12.22274560874225
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,3,-5.155995064156086,-12.228224865941776
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,3,-5.302261280015896,-11.485699063858798
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,3,-5.325880583889558,-11.628851014320947
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,3,-5.743217328921757,-11.975575880253388
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,3,-5.374187402616212,-10.94958019585428
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,3,-4.902676365639435,-11.901403359957172
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,3,-5.6186452524770925,-10.447659966018538
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,3,-4.336395469150869,-10.845981800092877
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,3,-4.702005255767447,-10.325418205814756
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,3,-4.595320463909581,-11.30017027257597
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,3,-5.787079056955151,-10.86605047973811
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,3,-4.820981288246056,-11.08030185828797
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,3,-4.744910144560909,-12.399297480592322
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,3,-6.13610467929626,-11.240261572087624
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,3,-5.530787644760566,-11.236697111497943
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1281,valid,3,-5.856059545627157,-11.64701094435805
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1240,valid,3,-5.642091120602395,-12.669764875769342
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,1316,valid,3,-5.582396512748887,-11.76079180618679
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,1290,valid,3,-5.023030330331055,-10.5402368550338
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,1266,valid,3,-5.153019721980194,-11.246992371424392
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,1281,valid,3,-5.221271997096977,-12.936888539047525
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,1205,valid,3,-4.667047505604786,-11.751423848351711
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,857,valid,3,-4.817785985781889,-11.511381320646212
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,332,valid,3,-5.437008022224898,-12.504358242281368
-100000000000000000000000000000000,-100000000000000000000000000000000B,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,String,69,valid,3,-6.1195793543824495,-12.365741696198741
9,9B,String,1.0,10,10B,String,915385,valid,3,-4.701061835095438,-12.876076566193094
99,99B,String,1.0,100,100B,String,133133,valid,3,-6.297835108360202,-11.991239828751763
9950,9.9 kB,String,1.0,9951,10.0 kB,String,25248,valid,4,-1.7329793964569997,7.960641152685926
9950000,9.9 MB,String,1.0,9950001,10.0 MB,String,11693,valid,4,-1.532515750976139,7.466853063715106
9950000000,9.9 GB,String,1.0,9950000001,10.0 GB,String,4854,valid,4,-1.9283754181066057,7.526427161233529
