bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,2,2.077324747998477,-3.281014174703472
-10,-10B,String,1.0,-9,-9B,String,323055,valid,2,2.3203437662587594,-3.6580584783783534
-100,-100B,String,1.0,-99,-99B,String,51443,valid,2,2.417323024847953,-4.219114332618189
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,2,2.5903395576797763,-4.3201885328168155
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,3,2.658440282544194,-4.529092246818751
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,3,2.7641235955220123,-4.8808406030379
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,3,3.074606786638475,-5.061247364388376
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,3,3.3470335173966608,-5.380950765795689
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,3,3.584047729716337,-5.697731750691758
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,3,3.8964930699498104,-5.699267643561048
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,3,4.400720948114219,-5.751007634275128
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,3,4.9266568344861605,-5.259967267173416
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,3,5.339228035853406,-5.211420617903585
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,3,6.060893565419189,-5.294362883490301
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,3,6.6749659394970156,-5.124076381425188
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,3,7.305989347919732,-5.307108971212003
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,3,7.8512924711626235,-5.352234868874983
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,3,8.32508193501607,-5.100610221762077
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,3,8.530950613237202,-5.518377556258134
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,3,8.714933362821276,-5.237630376187308
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,3,8.609949273867283,-5.232902144829128
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,3,8.726589827314951,-5.376270195986983
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,3,8.869885254526249,-5.708197187059599
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1281,valid,3,8.055652388043557,-5.026328930438709
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1240,valid,3,7.560186700044974,-5.250671020845065
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,1316,valid,3,7.064932339557123,-5.0720530110428275
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,1290,valid,3,6.738622886420092,-5.3384039453764425
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,1266,valid,3,6.137859657499919,-5.3685730803707
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,1281,valid,3,5.730722826093908,-5.3097482869017165
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,1205,valid,3,5.295613920542472,-5.510513796124431
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,857,valid,3,4.894442585968075,-5.509532491989761
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,332,valid,3,4.415796735966722,-5.638513036397142
-100000000000000000000000000000000,-100000000000000000000000000000000B,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,String,69,valid,3,4.013888944706418,-5.474009908755456
9,9B,String,1.0,10,10B,String,915385,valid,2,2.093471909099347,-3.750733409430997
