bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,4,-5.4230357966685725,0.11814653031548586
-10,-10B,String,1.0,-9,-9B,String,323055,valid,2,13.10636997742366,7.286111540293443
-100,-100B,String,1.0,-99,-99B,String,51443,valid,2,13.348141454804997,7.412585386848794
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,2,12.927778420548197,7.518887608279052
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,2,13.245426253795737,7.750771278206026
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,2,13.108568068456423,7.933984061795161
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,2,13.356410598708255,7.975428860263775
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,2,13.69596139746143,7.9917795779202665
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,2,13.922811298671283,8.171625257820411
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,2,14.203522926084881,8.243019687027257
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,2,14.33476410794431,7.950881045175752
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,2,14.50672045181967,8.05759906789514
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,2,14.841951397080933,8.223472333794215
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,2,15.04040574364675,8.387508805739028
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,2,15.259995658281065,8.253302571516551
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,2,15.423838388982302,8.46056915709601
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,2,15.766070947033151,8.446595398286776
