bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,6,1.5093804454371123,-1.8428407967201997e14
-10,-10B,String,1.0,-9,-9B,String,323055,valid,1,-9.592952844214551,2.7518885159920665
-100,-100B,String,1.0,-99,-99B,String,51443,valid,1,-8.423741691904802,2.5422034460895744
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,1,-6.868228983804353,2.5401583850711007
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,1,-5.2146656925063,2.797426009779978
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,1,-4.410065877973824,2.642638880888148
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,1,-4.353565541830357,2.6489424527878165
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,1,-4.362841354989359,2.4085391627459005
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,1,-4.545914865798765,2.3482250103970648
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,1,-4.751620160651141,2.69626279594431
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,1,-5.036940813027621,2.868248998974801
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,1,-5.502153147212641,2.670670438340751
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,1,-6.000513524335164,2.7891358575981595
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,1,-6.597567191609512,2.6879610591967555
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,1,-7.143656614712947,2.708749687356297
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,1,-7.8556890374322315,2.656391839349147
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,1,-8.233952698022412,2.719541460115237
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,1,-8.84509286420676,2.7246714923763706
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,1,-9.590002820594755,2.906623961832238
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,1,-9.983885485789283,2.812319673807551
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,1,-10.390590074611458,2.842859367778749
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,1,-10.674477153640849,2.967477867406507
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,1,-10.76806392116126,3.0957956252894903
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1281,valid,1,-11.030267274674276,3.442107411129848
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1240,valid,2,-10.95643444829512,3.780981672871518
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,1316,valid,2,-10.995726572681459,4.036557414590492
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,1290,valid,2,-11.168022397632162,4.310490910922116
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,1266,valid,2,-11.086764011521804,4.579721380946233
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,1281,valid,2,-11.338518049454082,4.850529457246668
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,1205,valid,2,-11.726427180202247,4.680097239851991
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,857,valid,2,-11.824113272530216,4.65677338761231
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,332,valid,2,-12.039225271593912,4.9889632878435295
-100000000000000000000000000000000,-100000000000000000000000000000000B,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,String,69,valid,2,-12.153106043714061,4.878350667566986
9,9B,String,1.0,10,10B,String,915385,valid,6,1.594209592357394,-1.882553224804084e14
99,99B,String,1.0,100,100B,String,133133,valid,6,1.6000838321683457,-1.880047233441791e14
