bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,6,4.490661006049035,-3.290022075752883
-10,-10B,String,1.0,-9,-9B,String,323055,valid,6,4.82422884014224,-2.6825075504149143
-100,-100B,String,1.0,-99,-99B,String,51443,valid,6,4.859883616248343,-2.536099163307583
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,6,5.134708900217727,-2.237152147549145
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,2,5.316913783817317,-2.0636570362932334
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,2,5.7111046141834345,-1.7477843971388913
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,2,5.899132278106149,-1.6465781945487137
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,2,6.232102895974045,-1.4061813888883996
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,2,6.4620309500072395,-1.3539805254660153
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,2,6.781950165471103,-1.385152043743298
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,2,6.709859859756754,-1.162829744980922
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,2,7.044122838499847,-1.0981746069907028
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,2,7.379383211340283,-1.2320529443102883
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,2,7.686114008498939,-1.2793656025813263
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,2,7.973965021119523,-1.0882701209448478
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,2,8.307871377182156,-1.215148046344559
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,2,8.444455280433223,-1.3041726983256938
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,2,8.659827438694014,-1.010502207978638
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,2,8.896753818745703,-0.7566833957732737
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,2,9.176359061234328,-0.4936681511945351
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,2,9.31739703794477,-0.11429522190869439
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,2,9.286059420764925,0.06290504853939265
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,2,9.433318878233736,0.43441611174589956
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1281,valid,2,9.502524363155631,0.5093125762129472
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1240,valid,4,9.507144701326649,0.8297632411320489
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,1316,valid,4,9.865933889467424,0.7951116950087018
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,1290,valid,4,10.089639205545438,0.9092077294629801
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,1266,valid,4,10.419969499957356,1.0989532519297986
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,1281,valid,4,10.568017682804305,1.214886249617271
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,1205,valid,4,10.855576078519436,1.4525206421219314
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,857,valid,4,10.88369760045791,1.4654394631725671
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,332,valid,4,11.212239103129397,1.7560078099087926
-100000000000000000000000000000000,-100000000000000000000000000000000B,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,String,69,valid,4,11.111645814506014,1.6591193198941856
9,9B,String,1.0,10,10B,String,915385,valid,6,4.352103029646683,-3.080800930529308
99,99B,String,1.0,100,100B,String,133133,valid,6,4.506199795438723,-3.045998156120399
9950,9.9 kB,String,1.0,9951,10.0 kB,String,25248,valid,3,-6.903980357024246,13.151836370736872
9950000,9.9 MB,String,1.0,9950001,10.0 MB,String,11693,valid,3,-6.94540796404492,12.777380251819709
9950000000,9.9 GB,String,1.0,9950000001,10.0 GB,String,4854,valid,3,-7.1006670457740695,12.945213809451452
9950000000000,9.9 TB,String,1.0,9950000000001,10.0 TB,String,4869,valid,3,-6.718620132629782,12.895023097019548
9950000000000001999,9.9 EB,String,1.0,9950000000000002000,10.0 EB,String,1942,valid,3,-7.179311527279155,12.831742624370474
