bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,3,18.736498476984476,3.257259338728568
-10,-10B,String,1.0,-9,-9B,String,323055,valid,3,17.48472861680111,2.5555783617251158
-100,-100B,String,1.0,-99,-99B,String,51443,valid,3,16.29277101697343,1.5215318562458773
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,3,15.026255032528356,0.706299868102231
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,3,13.488873055352354,0.06724079792881546
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,3,12.886081682029626,-0.43390773587720594
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,3,12.757604669524918,-0.2883830996747847
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,3,12.914485198109041,-0.5921164878121989
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,3,12.705983533644838,-0.7421206737831535
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,3,13.162666240676884,-0.37056597007620884
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,3,13.087700810770025,0.01643407682852363
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,3,13.6999542971024,0.09249822703732596
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,3,13.905748991135138,0.32242592947836834
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,3,14.629004456915215,0.7020051169471927
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,3,15.082444431469444,0.9128383801438312
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,3,15.68075702281412,1.2226555745070677
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,3,16.507003826077476,1.6744565685537338
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,3,16.98242023779881,1.8982954856558498
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,3,17.535679633832274,2.2141514606311867
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,3,18.049609337604927,2.6044519182258035
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,3,18.513873784798157,2.951970025075242
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,3,18.956570136850615,3.232812998325449
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,3,19.276456661507513,3.4762827988010825
