bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,1,0.0,1.0
-10,-10B,String,1.0,-9,-9B,String,323055,valid,1,0.0,1.0
-100,-100B,String,1.0,-99,-99B,String,51443,valid,1,0.0,1.0
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,1,0.0,1.0
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,1,0.0,1.0
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,1,0.0,1.0
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,1,0.0,1.0
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,1,0.0,1.0
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,1,0.0,1.0
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,1,0.0,1.0
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,1,0.0,1.0
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,1,0.0,1.0
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,1,0.0,1.0
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,1,0.0,1.0
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,1,0.0,1.0
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,1,0.0,1.0
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,1,0.0,1.0
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,1,0.0,1.0
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,1,0.0,1.0
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,1,0.0,1.0
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,1,0.0,1.0
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,1,0.0,1.0
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,1,0.0,1.0
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1281,valid,1,0.0,1.0
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1240,valid,1,0.0,1.0
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,1316,valid,1,0.0,1.0
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,1290,valid,1,0.0,1.0
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,1266,valid,1,0.0,1.0
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,1281,valid,1,0.0,1.0
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,1205,valid,1,0.0,1.0
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,857,valid,1,0.0,1.0
