bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,4,-1.034235791140334,2.142905302980983
-10,-10B,String,1.0,-9,-9B,String,323055,valid,2,9.52727700506671,-6.865568813888621
-100,-100B,String,1.0,-99,-99B,String,51443,valid,2,9.805207660090712,-7.369364014332757
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,2,9.694303718727816,-7.238283699128643
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,2,9.926721222802078,-7.233125487310394
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,2,9.924581816476284,-6.895670128188993
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,2,9.97736398475941,-7.0352171107999
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,2,9.315090731000485,-6.851296822953688
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,2,9.03836975078424,-6.614788733875168
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,2,9.365951474035048,-6.418269887916978
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,2,8.895877112179923,-6.198501517504107
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,2,8.655623407951184,-5.668703648424042
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,2,8.755800744724784,-4.832305970191149
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,2,9.036743709209992,-4.346919238302523
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,2,8.698141865199794,-3.9937276036353837
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,2,8.93428869565027,-3.3023281203047086
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,2,9.206939168309372,-2.670194656078679
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,2,9.446542841947457,-2.652617087321889
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,2,9.762066812805713,-2.394637387829425
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,2,9.688382843382202,-2.062436817104729
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,2,10.125185507933073,-2.1508125156959794
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,2,9.855091078925033,-2.017675187054574
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,2,9.842383950059588,-2.5927452656776735
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1281,valid,2,10.00983967246217,-2.529339721532444
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1240,valid,2,9.082400494837316,-2.907206336977986
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,1316,valid,2,8.746997120517625,-3.098322048053762
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,1290,valid,2,8.79729995651266,-3.704483337774627
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,1266,valid,2,9.054827528327943,-4.295986051957215
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,1281,valid,2,9.064316487039038,-4.78192841832232
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,1205,valid,2,8.937506517880301,-5.249707600680448
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,857,valid,2,8.911942330648934,-5.8015959484824
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,332,valid,2,9.345906476656676,-6.010131012280771
-100000000000000000000000000000000,-100000000000000000000000000000000B,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,String,69,valid,2,8.736050622465088,-6.374022890680879
9,9B,String,1.0,10,10B,String,915385,valid,4,-1.2107938086601275,1.984668015407502
99,99B,String,1.0,100,100B,String,133133,valid,4,-0.7167949530404676,2.0508856106210773
9950,9.9 kB,String,1.0,9951,10.0 kB,String,25248,valid,1,-0.16346160569526952,1.5482071701055116
9950000,9.9 MB,String,1.0,9950001,10.0 MB,String,11693,valid,1,0.16971966359438775,1.6679236155397068
9950000000,9.9 GB,String,1.0,9950000001,10.0 GB,String,4854,valid,1,0.08134786577625598,1.8173023558893207
9950000000000,9.9 TB,String,1.0,9950000000001,10.0 TB,String,4869,valid,1,-0.35642462204369396,1.8031391674912987
9950000000000001999,9.9 EB,String,1.0,9950000000000002000,10.0 EB,String,1942,valid,1,-0.11334043321308652,2.003016209509382
9950000000000999,9.9 PB,String,1.0,9950000000001000,10.0 PB,String,4864,valid,1,-0.08035519224972539,1.6922419232650578
999,999B,String,2.0,1000,1.0 kB,String,27846,valid,3,-3.667969819457747,-28.692843392176542
99949,99.9 kB,String,1.0,99950,100.0 kB,String,12010,valid,1,-2.1352778438568225,2.9214425076182513
99949999,99.9 MB,String,1.0,99950000,100.0 MB,String,11325,valid,1,-2.0405669585222137,2.801086666535224
99949999999,99.9 GB,String,1.0,99950000000,100.0 GB,String,4985,valid,1,-2.4790444271208063,3.064978253775867
99949999999999,99.9 TB,String,1.0,99950000000000,100.0 TB,String,4988,valid,1,-2.2143688222022666,2.8173256957267214
99949999999999991999,99.9 EB,String,1.0,99949999999999992000,100.0 EB,String,1674,valid,1,-2.0549814477623802,3.1884115055571742
99949999999999999,99.9 PB,String,1.0,99950000000000000,100.0 PB,String,4978,valid,1,-2.2139475333920546,3.3045863090553254
999949,999.9 kB,String,2.0,999950,1.0 MB,String,14899,valid,3,-3.6404750867977334,-28.665355073760832
999949999,999.9 MB,String,2.0,999950000,1.0 GB,String,8891,valid,3,-3.233192307184685,-28.258101157279143
999949999999,999.9 GB,String,2.0,999950000000,1.0 TB,String,5088,valid,3,-3.4979505520314635,-28.522856611684627
999949999999999,999.9 TB,String,2.0,999950000000000,1.0 PB,String,4869,valid,3,-3.4343285536940575,-28.459239146344164
999949999999999935999,999.9 EB,String,1.0,999949999999999936000,1000.0 EB,String,683,valid,1,-2.7024216108072108,2.84025121292172
999949999999999999,999.9 PB,String,2.0,999950000000000000,1.0 EB,String,4501,valid,3,-3.231681182946826,-28.256605644715464
false,falseB,String,1.0,true,trueB,String,9821408,valid,4,-1.0163347828167077,1.8824497908641011
-1000000000000000000000000000000000,-1000000000000000000000000000000000B,String,1.0,-999999999999999999999999999999999,-999999999999999999999999999999999B,String,3,valid,2,8.886921941001301,-6.4210231317322615
