bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,1,-3.5682237021682636e16,3.8397914726529243
-10,-10B,String,1.0,-9,-9B,String,323055,valid,3,-9.692485665214676,-2.547620669010309e16
-100,-100B,String,1.0,-99,-99B,String,51443,valid,3,-5.33787999148362,-3.7210381556889304e16
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,3,-6.094890973732712,-3.7210381556889304e16
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,3,-4.441640657238301,-3.721038155688931e16
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,3,-4.461314043623115,-3.721038155688929e16
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,3,-3.3522480608505707,-3.721038155688928e16
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,3,-4.111603514341368,-3.72103815568893e16
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,3,-5.034706711742612,-3.72103815568893e16
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,3,-4.532795899774478,-3.72103815568893e16
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,3,-5.603178394704317,-3.72103815568893e16
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,3,-4.337898941350064,-3.721038155688928e16
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,3,-6.2801130023126825,-3.72103815568893e16
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,3,-3.6164690538914956,-3.721038155688929e16
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,3,-3.6302744792064714,-3.72103815568893e16
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,3,-6.916493124215088,-3.7210381556889304e16
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,3,-2.912129041428933,-3.72103815568893e16
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,3,-18.44236549475642,-2.5476206690103096e16
