bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,4,1.7561055270883748,6.892047736322764
-10,-10B,String,1.0,-9,-9B,String,323055,valid,1,-7.964482936280843,2.6820935504170116
-100,-100B,String,1.0,-99,-99B,String,51443,valid,1,-7.668532396532703,2.5493103996466586
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,1,-7.943240647154799,2.302518955951864
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,1,-7.463006065552194,2.383521074151476
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,1,-7.385661549720625,2.6607729378022724
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,1,-7.457492038072828,2.980744033447199
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,1,-7.17282946249642,2.88212979443043
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,1,-6.893564990636259,3.110033496507477
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,1,-7.031687086641145,3.4764738590950004
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,1,-6.987065710453585,4.069200069435861
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,1,-6.725897693782895,4.186358830899327
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,1,-6.463202221888684,4.822947939452132
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,1,-6.197045239146406,5.522740679170869
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,1,-5.823614279721274,6.302809736253796
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,1,-5.762160982881423,6.843318173378678
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,1,-5.785589772657758,7.899247997326099
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,1,-6.200555138326082,8.456645836572145
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,1,-6.304213614523401,8.08259384670811
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,1,-6.21222563482903,8.151486092507799
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,1,-6.182628399875223,7.778810571240722
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,1,-6.533543406010629,7.9091985077407045
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,1,-6.016297545112263,8.411839810755412
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1281,valid,1,-6.356239643401118,8.383186875791514
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1240,valid,1,-5.4848627098629645,7.725307817267791
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,1316,valid,1,-5.64628241234586,7.126861801937495
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,1290,valid,1,-5.720570451666201,6.168827730721132
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,1266,valid,1,-6.179580113051032,5.868089903810061
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,1281,valid,1,-6.329768845513445,5.181945230031291
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,1205,valid,1,-6.554357386782963,4.48132310094721
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,857,valid,1,-6.8109806579982255,4.563450504375506
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,332,valid,1,-7.316793879791241,4.064800527050305
-100000000000000000000000000000000,-100000000000000000000000000000000B,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,String,69,valid,1,-7.183254323553578,3.811965738015217
9,9B,String,1.0,10,10B,String,915385,valid,4,1.7293202238511554,6.994126053369275
99,99B,String,1.0,100,100B,String,133133,valid,4,1.5640189914499298,6.6845679073062065
9950,9.9 kB,String,1.0,9951,10.0 kB,String,25248,valid,2,11.925627186546084,0.2520895392648468
9950000,9.9 MB,String,1.0,9950001,10.0 MB,String,11693,valid,2,11.699552602064024,0.4776081665738358
9950000000,9.9 GB,String,1.0,9950000001,10.0 GB,String,4854,valid,2,11.55595417546871,0.6207297134562283
9950000000000,9.9 TB,String,1.0,9950000000001,10.0 TB,String,4869,valid,2,11.826014503300096,0.35139125273745003
9950000000000001999,9.9 EB,String,1.0,9950000000000002000,10.0 EB,String,1942,valid,2,11.795525011904793,0.37961161991493775
9950000000000999,9.9 PB,String,1.0,9950000000001000,10.0 PB,String,4864,valid,2,11.962134799998253,0.21563794007035603
999,999B,String,2.0,1000,1.0 kB,String,27846,valid,3,2.0880251022433622,10.008811870143779
99949,99.9 kB,String,1.0,99950,100.0 kB,String,12010,valid,2,1.3256670501939594,5.662789609999301
99949999,99.9 MB,String,1.0,99950000,100.0 MB,String,11325,valid,2,1.4819982515411094,5.995318931421818
99949999999,99.9 GB,String,1.0,99950000000,100.0 GB,String,4985,valid,2,1.2788071694760046,5.798843963090965
99949999999999,99.9 TB,String,1.0,99950000000000,100.0 TB,String,4988,valid,2,1.757400524014206,6.098669921679768
99949999999999991999,99.9 EB,String,1.0,99949999999999992000,100.0 EB,String,1674,valid,2,1.5735057702715702,5.8469185432068
99949999999999999,99.9 PB,String,1.0,99950000000000000,100.0 PB,String,4978,valid,2,1.9167502726550651,5.702078100280324
999949,999.9 kB,String,2.0,999950,1.0 MB,String,14899,valid,3,1.9947876441878223,10.219952502976687
999949999,999.9 MB,String,2.0,999950000,1.0 GB,String,8891,valid,3,2.2816212582471604,10.258018953970497
999949999999,999.9 GB,String,2.0,999950000000,1.0 TB,String,5088,valid,3,1.8721745578278257,10.42716910009313
999949999999999,999.9 TB,String,2.0,999950000000000,1.0 PB,String,4869,valid,3,1.829469562435341,10.530042536217032
999949999999999935999,999.9 EB,String,1.0,999949999999999936000,1000.0 EB,String,683,valid,2,1.725890815423759,5.523692918401033
999949999999999999,999.9 PB,String,2.0,999950000000000000,1.0 EB,String,4501,valid,3,2.077239788505662,10.41874720967914
false,falseB,String,1.0,true,trueB,String,9821408,valid,4,1.374797104881816,6.876077091799795
-1000000000000000000000000000000000,-1000000000000000000000000000000000B,String,1.0,-999999999999999999999999999999999,-999999999999999999999999999999999B,String,3,valid,1,-6.7239568450997025,3.5567120836754196
