bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,4,-15.923557194648886,2.4415117177464425
-10,-10B,String,1.0,-9,-9B,String,323055,valid,1,2.460300231520675,18.474425269859438
-100,-100B,String,1.0,-99,-99B,String,51443,valid,1,1.8594455471351774,18.834859214589223
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,1,2.6484332906804986,18.02647236796272
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,1,2.2178725172979745,18.591636459220723
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,1,2.2999334564230565,17.785550197318837
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,1,3.258020619895578,18.351402431743857
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,1,2.5718934247246854,19.30606011519882
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,1,1.9556734800985072,17.690977626947802
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,1,2.7412045737417556,18.854532504081423
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,1,3.227824117212064,17.40477383593937
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,1,3.738782176813735,18.86878646031635
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,1,2.330070616382007,19.19824206629414
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,1,2.3897737517417807,18.631678124654794
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,1,2.37284578861122,17.132913647227333
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,1,2.826277190780884,18.113377004434653
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,1,2.757611685344421,17.340088061820275
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,1,2.207176993778595,18.09922436086839
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,1,3.452573590592319,18.642404900967655
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,1,2.5579510875463747,17.790854102098148
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,1,3.130676084561896,19.034374149473923
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,1,1.9797533870506574,18.16955264474495
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,1,3.5195914741525485,18.06317681752809
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1281,valid,1,1.4858851885167732,17.931286379553462
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1240,valid,1,2.164568524585873,17.636156608023953
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,1316,valid,1,2.7434152644614618,18.96632209453295
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,1290,valid,1,2.9298451543763324,18.633872538790044
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,1266,valid,1,1.6680418861288806,19.133543941682344
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,1281,valid,1,1.8014236417225544,18.683381164963002
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,1205,valid,1,2.8787051452121957,19.560102681418254
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,857,valid,1,1.5016209885709377,18.428892599652904
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,332,valid,1,2.090088298358916,19.098668166176676
-100000000000000000000000000000000,-100000000000000000000000000000000B,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,String,69,valid,1,3.155020690260464,17.726447979830418
9,9B,String,1.0,10,10B,String,915385,valid,4,-16.079412197043524,2.5715412510134468
99,99B,String,1.0,100,100B,String,133133,valid,4,-16.073350708806128,2.564742351683595
9950,9.9 kB,String,1.0,9951,10.0 kB,String,25248,valid,3,-14.629509730531444,-8.681553284825029
9950000,9.9 MB,String,1.0,9950001,10.0 MB,String,11693,valid,3,-14.461467564332224,-8.850450607261973
9950000000,9.9 GB,String,1.0,9950000001,10.0 GB,String,4854,valid,3,-14.793388939820455,-8.518710326330728
9950000000000,9.9 TB,String,1.0,9950000000001,10.0 TB,String,4869,valid,3,-15.019399175790117,-8.292733505483836
9950000000000001999,9.9 EB,String,1.0,9950000000000002000,10.0 EB,String,1942,valid,3,-14.682592206954128,-8.6295632400398
9950000000000999,9.9 PB,String,1.0,9950000000001000,10.0 PB,String,4864,valid,3,-14.52783024505502,-8.784377667439161
999,999B,String,2.0,1000,1.0 kB,String,27846,valid,2,8.712620382264907,-5.344198811291237
99949,99.9 kB,String,1.0,99950,100.0 kB,String,12010,valid,7,-16.384385435663464,3.1894309608165874
99949999,99.9 MB,String,1.0,99950000,100.0 MB,String,11325,valid,7,-16.06199977518961,3.2209683684571138
99949999999,99.9 GB,String,1.0,99950000000,100.0 GB,String,4985,valid,7,-16.458039047612967,3.1579389229319053
99949999999999,99.9 TB,String,1.0,99950000000000,100.0 TB,String,4988,valid,7,-16.281829241431666,3.239579224219119
99949999999999991999,99.9 EB,String,1.0,99949999999999992000,100.0 EB,String,1674,valid,7,-16.65071736879121,3.449495241989354
99949999999999999,99.9 PB,String,1.0,99950000000000000,100.0 PB,String,4978,valid,7,-16.38628385146792,3.5920556131458836
999949,999.9 kB,String,2.0,999950,1.0 MB,String,14899,valid,2,8.644853281292587,-5.276485031503638
999949999,999.9 MB,String,2.0,999950000,1.0 GB,String,8891,valid,2,8.927495550373859,-5.559166262941767
999949999999,999.9 GB,String,2.0,999950000000,1.0 TB,String,5088,valid,2,9.049708832511756,-5.681423208665251
999949999999999,999.9 TB,String,2.0,999950000000000,1.0 PB,String,4869,valid,2,8.803836918551058,-5.43549068880301
999949999999999935999,999.9 EB,String,1.0,999949999999999936000,1000.0 EB,String,683,valid,5,-16.806746351910146,3.152314379437303
999949999999999999,999.9 PB,String,2.0,999950000000000000,1.0 EB,String,4501,valid,2,9.093106168000464,-5.724885252873619
false,falseB,String,1.0,true,trueB,String,9821408,valid,6,-16.688516048373284,2.789836999472578
-1000000000000000000000000000000000,-1000000000000000000000000000000000B,String,1.0,-999999999999999999999999999999999,-999999999999999999999999999999999B,String,3,valid,1,3.033507363141703,18.483660443659335
