bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,4,-2.927180889661133,-4.515249837828285
-10,-10B,String,1.0,-9,-9B,String,323055,valid,4,-2.8730747126443195,-4.949787978494549
-100,-100B,String,1.0,-99,-99B,String,51443,valid,4,-2.6282826374401043,-5.209800973070515
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,4,-2.5163807420486872,-5.628771038169324
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,1,-2.510217251021093,-6.158323680307689
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,1,-2.624942939728639,-6.340865395675398
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,1,-2.7531622054700247,-6.690108092115205
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,1,-2.9695282594274106,-6.917342372857987
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,1,-2.743529291320771,-7.261996462525382
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,1,-2.5152826280512683,-7.342635442864201
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,1,-2.181618802935337,-7.583652238443083
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,1,-1.7736591479289494,-7.797750340723992
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,1,-1.5528057436108105,-8.400701026626788
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,1,-1.1979699293833592,-8.837896013624
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,1,-1.1732606626195663,-9.33255901379584
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,1,-0.9477518498229452,-9.795356346955202
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,1,-0.9526255774739282,-10.144448008819081
