bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,4,-4.820639750407339,1.1184281919570362
-10,-10B,String,1.0,-9,-9B,String,323055,valid,3,15.728652803036189,0.028033250120175626
-100,-100B,String,1.0,-99,-99B,String,51443,valid,3,15.914583791045073,0.25339440997627605
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,3,16.195106714328404,0.09707838653545277
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,3,16.12738290908425,0.29884572167457313
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,3,16.422947755856097,0.3515643000093603
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,3,16.697892181217878,0.018312028166290073
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,3,16.78985331754656,-0.1142205146464953
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,3,17.04734241650877,-0.027606307621463662
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,3,16.91363602306741,-0.6069662416290761
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,3,17.314559920650662,-0.8351941454992983
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,3,17.46258202538468,-1.2157627022497788
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,3,17.734962431943142,-1.5978482715160278
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,3,17.983390928962454,-1.805140848009732
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,3,18.055773686960023,-2.154132822435174
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,3,18.36400659578264,-2.577237035044203
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,3,18.754828897224307,-2.756850192947214
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,3,18.60064709550847,-3.05570168955986
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,3,18.82458548188635,-3.295561465475068
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,3,19.018552133382492,-3.781761425148694
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,3,19.239230290710317,-4.109613018723782
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,3,19.413833657003106,-4.420199119439593
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,3,19.510428055318574,-4.561420330818674
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1281,valid,3,19.77379791050849,-4.653799076411671
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1240,valid,3,19.80257639527736,-4.990140517180514
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,1316,valid,3,20.22188341808274,-4.987646091891407
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,1290,valid,3,20.35217183715072,-5.238890705703925
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,1266,valid,3,20.524980598658587,-5.514523139451451
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,1281,valid,3,20.652761643213452,-5.569710665162476
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,1205,valid,3,20.450732711363813,-5.664312858787934
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,857,valid,3,20.80846421942176,-5.913323938208137
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,332,valid,3,20.350977526749627,-5.998379388394638
-100000000000000000000000000000000,-100000000000000000000000000000000B,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,String,69,valid,3,20.66676600079195,-5.982583432626758
9,9B,String,1.0,10,10B,String,915385,valid,4,-4.636282681822742,1.508223349921928
99,99B,String,1.0,100,100B,String,133133,valid,4,-4.582376135984428,1.2760312887668008
9950,9.9 kB,String,1.0,9951,10.0 kB,String,25248,valid,1,-4.046891585077709,4.200725906250098
9950000,9.9 MB,String,1.0,9950001,10.0 MB,String,11693,valid,1,-4.250321037636977,4.38655906949186
9950000000,9.9 GB,String,1.0,9950000001,10.0 GB,String,4854,valid,1,-4.039600523141128,4.1587714877693145
9950000000000,9.9 TB,String,1.0,9950000000001,10.0 TB,String,4869,valid,1,-3.9583272884447775,4.121627973532084
9950000000000001999,9.9 EB,String,1.0,9950000000000002000,10.0 EB,String,1942,valid,1,-4.303430793355125,4.569855701569403
9950000000000999,9.9 PB,String,1.0,9950000000001000,10.0 PB,String,4864,valid,1,-4.3704702327709235,4.427080481955374
999,999B,String,2.0,1000,1.0 kB,String,27846,valid,2,-20.110702327701656,-11.162144093013314
99949,99.9 kB,String,1.0,99950,100.0 kB,String,12010,valid,1,-5.722214511788246,1.26043862845728
99949999,99.9 MB,String,1.0,99950000,100.0 MB,String,11325,valid,1,-6.105444654036584,1.5827829864834424
99949999999,99.9 GB,String,1.0,99950000000,100.0 GB,String,4985,valid,1,-5.655879701686966,1.6305600922657417
99949999999999,99.9 TB,String,1.0,99950000000000,100.0 TB,String,4988,valid,1,-5.642791016417554,1.7996003732169492
99949999999999991999,99.9 EB,String,1.0,99949999999999992000,100.0 EB,String,1674,valid,1,-5.9581318497762314,1.2832760016441083
99949999999999999,99.9 PB,String,1.0,99950000000000000,100.0 PB,String,4978,valid,1,-6.25255601957511,1.6063828807532756
999949,999.9 kB,String,2.0,999950,1.0 MB,String,14899,valid,2,-20.008202883777457,-11.061030801325826
999949999,999.9 MB,String,2.0,999950000,1.0 GB,String,8891,valid,2,-19.874409660608883,-10.924849338062552
999949999999,999.9 GB,String,2.0,999950000000,1.0 TB,String,5088,valid,2,-19.96284649167195,-11.01349374910913
999949999999999,999.9 TB,String,2.0,999950000000000,1.0 PB,String,4869,valid,2,-20.198232660724763,-11.249272543494811
999949999999999935999,999.9 EB,String,1.0,999949999999999936000,1000.0 EB,String,683,valid,1,-5.7911421176155615,1.7337287682218745
999949999999999999,999.9 PB,String,2.0,999950000000000000,1.0 EB,String,4501,valid,2,-19.719911716533172,-10.769958144783121
false,falseB,String,1.0,true,trueB,String,9821408,valid,4,-4.5565350091504975,1.6203524617245022
-1000000000000000000000000000000000,-1000000000000000000000000000000000B,String,1.0,-999999999999999999999999999999999,-999999999999999999999999999999999B,String,3,valid,3,21.024785170336983,-5.723884321385557
