bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,6,-3.80660524997884e15,-5.332999434110615
-10,-10B,String,1.0,-9,-9B,String,323055,valid,1,9.777574396169218,6.737109698239087
-100,-100B,String,1.0,-99,-99B,String,51443,valid,1,9.237202381050421,6.12068945855406
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,1,8.186883085302517,4.904017561233682
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,1,6.779761682845718,2.916382768435479
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,1,6.160548962921442,1.7947361691211219
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,1,6.151638651828834,2.148046737427997
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,1,5.9894386663533465,2.0591694675960777
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,1,6.479310293146259,1.933400403590151
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,1,6.165549415469536,2.1862352708086705
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,1,6.398879470306821,2.583409121713628
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,1,6.579150584030637,2.925959867916935
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,1,6.993400601763712,3.3918430239187343
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,1,7.890811812982895,4.5287915287031035
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,1,8.349549627174767,5.070683158919158
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,1,8.718225752944205,5.530900055513435
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,1,9.026536608302607,5.899180889966845
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,1,9.513034632775538,6.447599487787463
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,1,10.053927580315978,7.025782347382678
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,1,10.24136410486455,7.219187868392546
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,1,10.559429964861549,7.576657650629234
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,1,10.882259705987822,7.89839574399579
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,1,11.11131847769262,8.191759459858883
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1281,valid,1,11.314633820414109,8.248057991860597
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1240,valid,2,11.786130748303691,8.46336589229666
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,1316,valid,2,11.97829914164917,8.681403239270958
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,1290,valid,2,12.18985835365232,8.627205701681435
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,1266,valid,2,12.376816359243323,8.635932819228854
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,1281,valid,2,12.534971296120606,8.96483303872633
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,1205,valid,2,12.662661976498892,9.172979463990904
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,857,valid,2,13.088827599887654,9.090419157188732
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,332,valid,2,13.113622225979922,8.94611878905019
-100000000000000000000000000000000,-100000000000000000000000000000000B,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,String,69,valid,2,12.990047465277115,8.976145618461205
9,9B,String,1.0,10,10B,String,915385,valid,6,-3.888900759619858e15,-4.968203725773851
