bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,3,5.688405027586297,-9.267248151887424
-10,-10B,String,1.0,-9,-9B,String,323055,valid,3,5.836041918833031,-9.302125156071892
-100,-100B,String,1.0,-99,-99B,String,51443,valid,3,5.891266202490779,-9.80208726713176
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,3,6.104668186892122,-10.238922127437524
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,1,6.228569047916595,-10.540705947537187
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,1,6.327138045858989,-10.882958854473825
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,1,6.433603317405698,-11.32213674850374
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,1,6.649583736232893,-11.5280996026843
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,1,6.6709187251888284,-11.954438435366274
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,1,6.95918326446319,-12.23661826500003
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,1,6.97908718588293,-12.612928720263428
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,1,7.171088288093038,-12.827884148903777
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,1,7.255011975586522,-13.07745895195757
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,1,7.431691855779907,-13.309268737907392
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,1,7.4894047999810445,-13.556719548136725
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,1,7.85533851718386,-13.924332261707352
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,1,7.957690043496671,-14.014103580325152
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,1,8.193251503125246,-14.26195929221322
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,1,8.489232875824726,-14.44235411160967
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,1,8.718388364681237,-14.560015442720351
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,1,8.954514847806683,-14.912332204995273
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,1,9.064722015120084,-14.687932682680326
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,1,9.390811865575984,-14.949709968724102
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1281,valid,1,9.575130406899692,-14.742175749617134
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1240,valid,5,9.884759691782211,-14.552828289049456
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,1316,valid,5,10.256593054648869,-14.610721353945108
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,1290,valid,5,10.73944098804738,-14.617430887388215
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,1266,valid,5,10.819976255593922,-14.467136820240887
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,1281,valid,5,10.870806772923084,-14.411775938779632
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,1205,valid,5,11.29882180434734,-14.31035953635354
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,857,valid,5,11.511850876379581,-14.38789731175328
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,332,valid,5,11.480719835864674,-14.58896856898361
-100000000000000000000000000000000,-100000000000000000000000000000000B,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,String,69,valid,5,11.502481800830928,-14.547031655665313
9,9B,String,1.0,10,10B,String,915385,valid,3,5.933779295352781,-8.940038434172589
99,99B,String,1.0,100,100B,String,133133,valid,3,5.662809888695964,-9.09304616817462
9950,9.9 kB,String,1.0,9951,10.0 kB,String,25248,valid,2,-15.503324136949772,17.732862300925976
9950000,9.9 MB,String,1.0,9950001,10.0 MB,String,11693,valid,2,-15.7875890929674,18.017112097620814
9950000000,9.9 GB,String,1.0,9950000001,10.0 GB,String,4854,valid,2,-15.593427162086718,17.823027350981324
9950000000000,9.9 TB,String,1.0,9950000000001,10.0 TB,String,4869,valid,2,-15.568049569855186,17.797642100459317
9950000000000001999,9.9 EB,String,1.0,9950000000000002000,10.0 EB,String,1942,valid,2,-15.651648982576836,17.88126657569764
9950000000000999,9.9 PB,String,1.0,9950000000001000,10.0 PB,String,4864,valid,2,-15.3348868179825,17.564485813929114
999,999B,String,2.0,1000,1.0 kB,String,27846,valid,4,-18.381169796222792,4.624031778823086
99949,99.9 kB,String,1.0,99950,100.0 kB,String,12010,valid,2,-9.8524910156784,6.98882583669102
99949999,99.9 MB,String,1.0,99950000,100.0 MB,String,11325,valid,2,-9.74672549311768,6.8830351828679515
99949999999,99.9 GB,String,1.0,99950000000,100.0 GB,String,4985,valid,2,-9.469746565624243,6.606190682770534
99949999999999,99.9 TB,String,1.0,99950000000000,100.0 TB,String,4988,valid,2,-9.685018781300304,6.821376506489337
99949999999999991999,99.9 EB,String,1.0,99949999999999992000,100.0 EB,String,1674,valid,2,-9.655176018206822,6.791250620446929
99949999999999999,99.9 PB,String,1.0,99950000000000000,100.0 PB,String,4978,valid,2,-9.523715456511962,6.660318442588439
999949,999.9 kB,String,2.0,999950,1.0 MB,String,14899,valid,4,-18.634308893054712,4.3710061553637205
999949999,999.9 MB,String,2.0,999950000,1.0 GB,String,8891,valid,4,-18.471335099613025,4.533963192356292
999949999999,999.9 GB,String,2.0,999950000000,1.0 TB,String,5088,valid,4,-18.53092917973672,4.474524647971416
999949999999999,999.9 TB,String,2.0,999950000000000,1.0 PB,String,4869,valid,4,-18.71992299909062,4.286601160924432
999949999999999935999,999.9 EB,String,1.0,999949999999999936000,1000.0 EB,String,683,valid,2,-9.987474829081611,7.124017778465386
999949999999999999,999.9 PB,String,2.0,999950000000000000,1.0 EB,String,4501,valid,4,-18.818781488817883,4.186613233296971
false,falseB,String,1.0,true,trueB,String,9821408,valid,3,5.620481023396564,-9.006997600451694
-1000000000000000000000000000000000,-1000000000000000000000000000000000B,String,1.0,-999999999999999999999999999999999,-999999999999999999999999999999999B,String,3,valid,5,11.442114760940692,-14.716057213054839
