bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,3,-6.0032296978022,-2.6553849228974724
-10,-10B,String,1.0,-9,-9B,String,323055,valid,3,-6.693505268094086,-3.25775165157454
-100,-100B,String,1.0,-99,-99B,String,51443,valid,3,-7.243063849417573,-3.6930065248568624
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,3,-8.520007536235957,-5.714219116462791
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,3,-9.165725422486572,-6.70089181730722
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,3,-9.38244600695872,-7.337993925586026
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,3,-9.534110431482615,-7.211166863549731
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,3,-9.66862591127073,-7.2516127323831965
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,3,-9.835367795056703,-7.049218290471616
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,3,-9.325583370034746,-7.0348213192444575
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,3,-9.0469059459454,-6.954108628763909
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,3,-9.005980739955978,-6.489398464325962
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,3,-9.020869348595573,-6.292955904588632
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,3,-8.730195860204812,-5.937364371011427
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,3,-8.349794114233642,-5.455460357814689
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,3,-7.79100172461371,-4.544171392231565
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,3,-7.444961999031407,-3.89592832771246
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,3,-7.127260699972896,-3.37147015373783
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,3,-6.7500138800034035,-3.0078990455227164
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,3,-6.2513003338016295,-2.604726037587434
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,3,-6.089546707886723,-2.1521021729400984
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,3,-5.741718989057571,-2.1537772700878293
