bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,4,-0.756274062738756,-6.269302175894576
-10,-10B,String,1.0,-9,-9B,String,323055,valid,3,-1.1633058819965172,-6.215238507596458
-100,-100B,String,1.0,-99,-99B,String,51443,valid,3,-1.5524963425118758,-6.101988011292487
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,3,-1.6973304759692165,-4.92973931498501
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,3,-1.7625747038955186,-4.005062301312254
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,3,-1.4808405853422903,-3.6499765328030986
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,3,-5.432632881691677,5.485156967205102
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,1,-5.6639621176467045,5.39605888902862
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,1,-5.6275296994064625,5.728082367392071
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,1,-5.825295188499133,6.175885922219251
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,1,-5.678257412486223,6.337232835706127
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,1,-5.115793761499148,6.543777368385454
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,1,-4.7175081250164945,6.839789775791877
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,1,-4.648898375785378,7.467241150168664
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,1,-4.3413455165828605,7.827168572809296
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,1,-3.7581702295823223,7.989083227902637
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,1,-3.5494323427055385,8.486788797758582
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,1,-3.0317596667208844,8.474785884158365
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,1,-2.7307623167513073,8.025416998222983
