bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,5,-1.8105609071240372e16,10.000026902663324
-10,-10B,String,1.0,-9,-9B,String,323055,valid,1,3.5508960897327873,-5.161139292185928
-100,-100B,String,1.0,-99,-99B,String,51443,valid,1,3.418723082782647,-5.056841496469807
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,1,3.220918652264602,-5.3545894252097685
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,1,3.2891645707950583,-5.434204362943685
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,1,3.0865297123703503,-5.71519320593679
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,1,2.919986934284354,-5.863295623831901
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,1,3.0722139801634665,-6.174331590927205
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,1,3.0902030980372923,-6.470995866610944
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,1,2.8234855463432122,-6.634793690013518
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,1,3.1060461232912644,-6.972604512552796
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,1,3.264699393660008,-7.030540786846675
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,1,2.962637854747576,-7.345310143357285
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,1,2.7720855930621937,-7.630891771030774
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,1,2.670873434200142,-7.554624245500096
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,1,2.9412815410691073,-7.950627460776283
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,1,2.835398244544894,-8.33955236437582
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,1,3.3584290476302225,-8.859745052190068
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,1,3.0625450437136985,-8.78393779585567
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,1,2.98636853547177,-9.15331029354298
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,1,2.983733845309095,-9.475491845577206
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,1,2.906149273820166,-9.783928972489104
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,1,2.866912757359009,-10.04428529448729
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1281,valid,3,2.6216935562299617,-10.26977712807512
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1240,valid,3,2.5411396533603416,-10.353624398897251
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,1316,valid,3,2.241629568503406,-10.600140964497166
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,1290,valid,3,2.1348003578931,-10.888331687254048
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,1266,valid,3,1.93350104903624,-10.750429028160715
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,1281,valid,3,1.8993919518343492,-11.190473211417027
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,1205,valid,3,1.9820243054526059,-11.216541813487899
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,857,valid,3,2.0699608203603264,-11.284090982087626
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,332,valid,3,1.3241655607762515,-11.019376250006102
-100000000000000000000000000000000,-100000000000000000000000000000000B,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,String,69,valid,3,1.5833100554952615,-11.404029050046999
9,9B,String,1.0,10,10B,String,915385,valid,5,-1.890460869139424e16,3.5874141188269943
99,99B,String,1.0,100,100B,String,133133,valid,5,-1.9544498407313396e16,9.999844154357502
9950,9.9 kB,String,1.0,9951,10.0 kB,String,25248,valid,2,-2.166868984084261e16,-2.0384535444029126
9950000,9.9 MB,String,1.0,9950001,10.0 MB,String,11693,valid,2,-2.1668689840842612e16,-0.9911781762692539
9950000000,9.9 GB,String,1.0,9950000001,10.0 GB,String,4854,valid,2,-2.166868984084261e16,-1.8251215702833794
9950000000000,9.9 TB,String,1.0,9950000000001,10.0 TB,String,4869,valid,2,-2.1668689840842612e16,-1.2293638785670478
9950000000000001999,9.9 EB,String,1.0,9950000000000002000,10.0 EB,String,1942,valid,2,-2.160124275083734e16,-2.8249112975927004
9950000000000999,9.9 PB,String,1.0,9950000000001000,10.0 PB,String,4864,valid,2,-2.166868984084261e16,-1.5387107727673301
999,999B,String,2.0,1000,1.0 kB,String,27846,valid,4,-4.791404450279444,-3.290491812656274e16
99949,99.9 kB,String,1.0,99950,100.0 kB,String,12010,valid,2,-2.3077120930042804e16,0.5726656895786704
99949999,99.9 MB,String,1.0,99950000,100.0 MB,String,11325,valid,2,-2.3077120930042804e16,0.9740147413846286
99949999999,99.9 GB,String,1.0,99950000000,100.0 GB,String,4985,valid,2,-2.205475077882003e16,-5.135525521193558
99949999999999,99.9 TB,String,1.0,99950000000000,100.0 TB,String,4988,valid,2,-2.205475077882003e16,-5.5818430002211175
99949999999999991999,99.9 EB,String,1.0,99949999999999992000,100.0 EB,String,1674,valid,2,-2.0133140836190596e16,5.190668517568921
99949999999999999,99.9 PB,String,1.0,99950000000000000,100.0 PB,String,4978,valid,2,-2.205475077882003e16,-5.769077894282854
999949,999.9 kB,String,2.0,999950,1.0 MB,String,14899,valid,4,-4.0664144696350935,-3.678881686252966e16
999949999,999.9 MB,String,2.0,999950000,1.0 GB,String,8891,valid,4,-4.18482245669674,-3.678881686252966e16
999949999999,999.9 GB,String,2.0,999950000000,1.0 TB,String,5088,valid,4,-3.9752717636358774,-3.678881686252966e16
999949999999999,999.9 TB,String,2.0,999950000000000,1.0 PB,String,4869,valid,4,-4.015525279707077,-3.678881686252966e16
999949999999999935999,999.9 EB,String,1.0,999949999999999936000,1000.0 EB,String,683,valid,2,-2.1351420011960644e16,0.00017504829613842975
999949999999999999,999.9 PB,String,2.0,999950000000000000,1.0 EB,String,4501,valid,4,-9.934238898966784,-3.290491812656274e16
false,falseB,String,1.0,true,trueB,String,9821408,valid,5,-1.766654556736374e16,9.665449451054977
-1000000000000000000000000000000000,-1000000000000000000000000000000000B,String,1.0,-999999999999999999999999999999999,-999999999999999999999999999999999B,String,3,valid,3,1.4775180796375498,-11.192277356445727
