bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,2,-6.4377768399079995,15.072919027938896
-10,-10B,String,1.0,-9,-9B,String,323055,valid,1,5.825339683831191,1.0567844374483433
-100,-100B,String,1.0,-99,-99B,String,51443,valid,1,5.264263018927945,0.521912776642223
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,1,4.719600309465439,-1.1030929481648757
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,1,4.6350442711734665,-2.5401548889238934
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,1,4.564892239935343,-3.3205589310427
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,1,4.640799439730897,-3.2489491362035245
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,1,4.124182932849321,-3.2235005949245963
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,1,4.198482981524456,-3.499019849823527
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,1,4.281276102119184,-3.327260589143629
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,1,4.376203461334348,-2.762614095032357
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,1,4.621361438482074,-2.3967063894241614
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,1,4.697741802070757,-2.0896322441098767
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,1,4.798813151000521,-1.5460211543978415
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,1,4.999321245113123,-0.8490661466605641
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,1,5.1333740280284985,-0.25865021932118487
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,1,5.46821777282187,0.16109606838566745
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,1,5.449730387054786,0.48182034177785643
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,1,5.660902950575159,0.8899021847104612
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,1,6.164272450443124,1.440667744811806
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,1,6.345448260920165,1.627638634430526
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,1,6.518063817996069,1.9015673336583567
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,1,6.831910833028587,1.9864327318766826
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1281,valid,1,6.666952741325995,2.2282687236801726
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1240,valid,4,6.988891777287285,2.5018242411500915
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,1316,valid,4,7.185819767002346,2.8230971047054805
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,1290,valid,4,7.421283590280789,2.820067556899319
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,1266,valid,4,7.441321819939593,3.207274997278855
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,1281,valid,4,7.540047682493312,3.346433132308047
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,1205,valid,4,7.845119209535124,3.4968357555148786
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,857,valid,4,7.965828238104335,3.65874536634745
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,332,valid,4,8.051220187751095,3.6099611836604604
-100000000000000000000000000000000,-100000000000000000000000000000000B,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,String,69,valid,4,8.29564745189048,3.8163472186998955
9,9B,String,1.0,10,10B,String,915385,valid,2,-6.959235256089712,15.240994108367817
99,99B,String,1.0,100,100B,String,133133,valid,2,-6.8944697463038285,14.92327823638769
9950,9.9 kB,String,1.0,9951,10.0 kB,String,25248,valid,2,-7.948548020197915,15.312341378203357
9950000,9.9 MB,String,1.0,9950001,10.0 MB,String,11693,valid,2,-7.8866396455392325,14.972905163069845
9950000000,9.9 GB,String,1.0,9950000001,10.0 GB,String,4854,valid,2,-7.7960897871208275,14.88016813638965
9950000000000,9.9 TB,String,1.0,9950000000001,10.0 TB,String,4869,valid,2,-7.7722099516062535,15.166272586982872
9950000000000001999,9.9 EB,String,1.0,9950000000000002000,10.0 EB,String,1942,valid,2,-7.655708126240961,15.211097197003314
9950000000000999,9.9 PB,String,1.0,9950000000001000,10.0 PB,String,4864,valid,2,-8.083048705126949,15.104105517268186
999,999B,String,2.0,1000,1.0 kB,String,27846,valid,3,-17.612946311676758,-3.298467273916389
99949,99.9 kB,String,1.0,99950,100.0 kB,String,12010,valid,2,-5.48121548912671,15.671222341792735
99949999,99.9 MB,String,1.0,99950000,100.0 MB,String,11325,valid,2,-5.140763106894666,15.090014673999162
99949999999,99.9 GB,String,1.0,99950000000,100.0 GB,String,4985,valid,2,-5.657185416357189,15.208871973441394
99949999999999,99.9 TB,String,1.0,99950000000000,100.0 TB,String,4988,valid,2,-5.485337442534207,15.298158756133871
99949999999999991999,99.9 EB,String,1.0,99949999999999992000,100.0 EB,String,1674,valid,2,-5.47919038643604,15.050004013579125
99949999999999999,99.9 PB,String,1.0,99950000000000000,100.0 PB,String,4978,valid,2,-5.292469589556627,15.550556756132634
999949,999.9 kB,String,2.0,999950,1.0 MB,String,14899,valid,3,-17.21773432779439,-2.903052049629821
999949999,999.9 MB,String,2.0,999950000,1.0 GB,String,8891,valid,3,-17.36623737041474,-3.0516154490922163
999949999999,999.9 GB,String,2.0,999950000000,1.0 TB,String,5088,valid,3,-17.35716514610288,-3.0424095842046115
999949999999999,999.9 TB,String,2.0,999950000000000,1.0 PB,String,4869,valid,3,-17.471231160011,-3.156286828988652
999949999999999935999,999.9 EB,String,1.0,999949999999999936000,1000.0 EB,String,683,valid,2,-5.439739254644346,15.330979938757444
999949999999999999,999.9 PB,String,2.0,999950000000000000,1.0 EB,String,4501,valid,3,-17.105472604922912,-2.7907795441816767
false,falseB,String,1.0,true,trueB,String,9821408,valid,2,-6.9609228157799095,15.052041286325608
-1000000000000000000000000000000000,-1000000000000000000000000000000000B,String,1.0,-999999999999999999999999999999999,-999999999999999999999999999999999B,String,3,valid,4,8.319335690700036,3.360682274562902
