bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,2,-8.42560820115353,5.095307865567585
-10,-10B,String,1.0,-9,-9B,String,323055,valid,2,-8.782013671956907,4.881127325838506
-100,-100B,String,1.0,-99,-99B,String,51443,valid,3,-9.147187195665408,4.936188980171674
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,3,-10.509592572098018,3.4197569334361804
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,3,-10.572140908434626,3.1248506386107078
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,3,-10.242935956727514,2.868455712480519
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,3,-5.722014147349293,-8.210217097765014
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,3,-5.7547558422158795,-8.554645212460509
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,5,-6.015823396184698,-8.816362675856093
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,5,-5.822958953922041,-8.962236224046583
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,5,-5.9884058125626884,-9.390844018280443
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,5,-6.085275537889739,-9.455150481183699
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,5,-6.187832048837706,-9.760344818844533
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,5,-6.325352652812154,-9.937869850686024
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,5,-6.203578042794288,-10.256902908506655
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,5,-6.570783487401779,-10.619855642322902
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,5,-6.599707508960302,-10.843470696161553
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,5,-6.832047430197284,-11.31604171330793
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,5,-7.040060929303839,-11.778107858450758
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,5,-7.145008044857698,-11.94459173619835
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,5,-7.270578099703078,-12.149934362078973
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,5,-7.395450468807889,-12.473010234299537
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,5,-7.5530213654055895,-12.915845599414624
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1281,valid,5,-7.7847166869240025,-13.334859813410366
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1240,valid,1,-7.6436029069006475,-13.412549183413612
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,1316,valid,1,-7.914024682747316,-13.627959409861607
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,1290,valid,1,-7.979711496645868,-13.935751179506267
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,1266,valid,1,-8.180574344180584,-14.122126527175258
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,1281,valid,1,-8.222175556912676,-14.285335714836148
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,1205,valid,1,-8.37198247459422,-14.484787254743784
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,857,valid,1,-7.9374159738273455,-14.893725160171716
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,332,valid,1,-8.175947198967496,-15.038038798466077
-100000000000000000000000000000000,-100000000000000000000000000000000B,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,String,69,valid,1,-8.213218558952223,-15.006776187098703
9,9B,String,1.0,10,10B,String,915385,valid,2,-8.262208574504644,5.058803728716533
99,99B,String,1.0,100,100B,String,133133,valid,2,-8.248445079770539,4.909593287489901
9950,9.9 kB,String,1.0,9951,10.0 kB,String,25248,valid,3,-6.970997128430205,5.560531248940163
9950000,9.9 MB,String,1.0,9950001,10.0 MB,String,11693,valid,3,-7.01037312666798,5.028250180417041
9950000000,9.9 GB,String,1.0,9950000001,10.0 GB,String,4854,valid,3,-7.2340534806437145,5.247884977916599
9950000000000,9.9 TB,String,1.0,9950000000001,10.0 TB,String,4869,valid,3,-6.817503863770034,5.304708939495902
9950000000000001999,9.9 EB,String,1.0,9950000000000002000,10.0 EB,String,1942,valid,3,-6.92688789909756,5.2620150456648895
9950000000000999,9.9 PB,String,1.0,9950000000001000,10.0 PB,String,4864,valid,3,-7.142511275761051,4.867994893634182
999,999B,String,2.0,1000,1.0 kB,String,27846,valid,4,-23.75479628290048,13.693260008266453
99949,99.9 kB,String,1.0,99950,100.0 kB,String,12010,valid,3,-11.083923189713152,2.7718038690097617
99949999,99.9 MB,String,1.0,99950000,100.0 MB,String,11325,valid,3,-10.83846281235283,2.9013743646810766
99949999999,99.9 GB,String,1.0,99950000000,100.0 GB,String,4985,valid,3,-10.927622279062128,2.6768364370931335
99949999999999,99.9 TB,String,1.0,99950000000000,100.0 TB,String,4988,valid,3,-11.003374841494196,2.413293547519935
99949999999999991999,99.9 EB,String,1.0,99949999999999992000,100.0 EB,String,1674,valid,3,-11.235398156424113,2.8604478031148775
99949999999999999,99.9 PB,String,1.0,99950000000000000,100.0 PB,String,4978,valid,3,-11.239473511896843,3.0163131978828392
999949,999.9 kB,String,2.0,999950,1.0 MB,String,14899,valid,4,-23.640432420146645,13.578879468895696
999949999,999.9 MB,String,2.0,999950000,1.0 GB,String,8891,valid,4,-23.612175773525706,13.550613277615062
999949999999,999.9 GB,String,2.0,999950000000,1.0 TB,String,5088,valid,4,-23.486896617347938,13.425325564518936
999949999999999,999.9 TB,String,2.0,999950000000000,1.0 PB,String,4869,valid,4,-23.92633080282326,13.864775555276246
999949999999999935999,999.9 EB,String,1.0,999949999999999936000,1000.0 EB,String,683,valid,3,-11.0031143998106,3.2994517990920165
999949999999999999,999.9 PB,String,2.0,999950000000000000,1.0 EB,String,4501,valid,4,-23.458694968574598,13.397114734482154
false,falseB,String,1.0,true,trueB,String,9821408,valid,2,-8.180503080921751,5.343298811641001
-1000000000000000000000000000000000,-1000000000000000000000000000000000B,String,1.0,-999999999999999999999999999999999,-999999999999999999999999999999999B,String,3,valid,1,-7.971483796927136,-15.181247400065338
