bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,1,-5.996166953938322,-10.527011874922612
-10,-10B,String,1.0,-9,-9B,String,323055,valid,1,-6.09388045582826,-9.176184965012741
-100,-100B,String,1.0,-99,-99B,String,51443,valid,1,-5.98437676553905,-7.727809251423515
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,1,-6.20203484258441,-5.301341454484089
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,1,-5.296846307613057,-1.6575833472692578
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,1,-4.564740044754374,0.6957819989647908
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,1,-4.3133867600331595,1.0858871063510576
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,1,-4.199175357324029,0.949995775772738
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,1,-4.160936079848447,0.5540741570803824
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,1,-4.525043654084328,0.15581480922697905
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,1,-4.87409878519127,-0.7165854597433245
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,1,-5.522841519203022,-2.146144171842394
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,1,-5.818796301967925,-3.276689003863195
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,1,-6.085730075739122,-4.91991342273855
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,1,-6.053982885548879,-5.581384780412668
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,1,-6.142469467046123,-7.186818886773074
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,1,-6.188205744056133,-8.046868747050937
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,1,-6.291078485104009,-8.765190962735414
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,1,-6.465484734837855,-9.30960552668108
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,1,-6.243532479563508,-9.810990168530616
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,1,-6.126748681862198,-10.306684201802396
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,1,-6.190005520587025,-10.703443311602628
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,1,-6.133215626042742,-11.334086812937917
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1281,valid,1,-6.260254246992841,-11.558076384328738
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1240,valid,3,-6.145969939892031,-11.921954342486229
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,1316,valid,3,-6.294056334435784,-12.319776023391517
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,1290,valid,3,-5.8903576552748875,-12.279013213696752
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,1266,valid,3,-6.110412920110288,-12.567117996931021
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,1281,valid,3,-6.0891434557911035,-12.938070972200258
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,1205,valid,3,-6.178115732121438,-13.218058639994888
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,857,valid,3,-6.238396837303552,-13.400057177912199
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,332,valid,3,-6.469861397270529,-13.244041908780774
-100000000000000000000000000000000,-100000000000000000000000000000000B,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,String,69,valid,3,-6.343220448859465,-13.391470808676171
9,9B,String,1.0,10,10B,String,915385,valid,1,-6.520375703312184,-10.31898879014605
99,99B,String,1.0,100,100B,String,133133,valid,1,-6.372655332644315,-9.435357980724982
9950,9.9 kB,String,1.0,9951,10.0 kB,String,25248,valid,1,-5.666856544321874,-2.314894641358019
9950000,9.9 MB,String,1.0,9950001,10.0 MB,String,11693,valid,1,-5.176815859717653,-2.5193777330674636
9950000000,9.9 GB,String,1.0,9950000001,10.0 GB,String,4854,valid,1,-5.277249572670498,-2.892779867251303
9950000000000,9.9 TB,String,1.0,9950000000001,10.0 TB,String,4869,valid,1,-5.534662956622619,-2.6705736244479694
9950000000000001999,9.9 EB,String,1.0,9950000000000002000,10.0 EB,String,1942,valid,1,-5.681690492474064,-2.7095456581471207
9950000000000999,9.9 PB,String,1.0,9950000000001000,10.0 PB,String,4864,valid,1,-5.131547768350659,-2.4445665555925427
999,999B,String,2.0,1000,1.0 kB,String,27846,valid,2,9.375068472592416,-8.36290647786922
99949,99.9 kB,String,1.0,99950,100.0 kB,String,12010,valid,1,-3.4885551088236055,0.43017361887898786
99949999,99.9 MB,String,1.0,99950000,100.0 MB,String,11325,valid,1,-3.740291454637535,0.6368742338759179
99949999999,99.9 GB,String,1.0,99950000000,100.0 GB,String,4985,valid,1,-3.785815281682509,0.03807599955879185
99949999999999,99.9 TB,String,1.0,99950000000000,100.0 TB,String,4988,valid,1,-3.9212892335206786,0.3296829890027439
99949999999999991999,99.9 EB,String,1.0,99949999999999992000,100.0 EB,String,1674,valid,1,-3.611512889671041,0.21876828484936764
99949999999999999,99.9 PB,String,1.0,99950000000000000,100.0 PB,String,4978,valid,1,-3.8680538991214277,0.17080027222523916
999949,999.9 kB,String,2.0,999950,1.0 MB,String,14899,valid,2,9.217282639170467,-8.163097135123673
999949999,999.9 MB,String,2.0,999950000,1.0 GB,String,8891,valid,2,9.429725542781918,-8.237574671023257
999949999999,999.9 GB,String,2.0,999950000000,1.0 TB,String,5088,valid,2,8.994817418612037,-8.271296924737255
999949999999999,999.9 TB,String,2.0,999950000000000,1.0 PB,String,4869,valid,2,9.55530674827233,-8.06037147845689
999949999999999935999,999.9 EB,String,1.0,999949999999999936000,1000.0 EB,String,683,valid,1,-4.45406064142226,0.9875985605451476
