bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,1,10.062900501003497,5.768931602818918
-10,-10B,String,1.0,-9,-9B,String,323055,valid,2,-8.048422660559007,-12.321836020579422
-100,-100B,String,1.0,-99,-99B,String,51443,valid,2,-8.05902315799972,-12.129937069383562
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,2,-7.9660365402891715,-12.249202680967132
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,2,-8.467745638555748,-11.921070004829541
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,2,-8.464475952777983,-12.16502209036535
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,2,-8.932831502436299,-12.128048688953085
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,2,-8.837496823620558,-12.226846225229092
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,2,-9.036995576914434,-12.473737024199473
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,2,-9.346229776654678,-12.505415897581178
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,2,-9.23583012182381,-12.93905375816592
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,2,-9.513900625725427,-12.998693159532836
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,2,-9.74537338224125,-13.28354506072906
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,2,-9.803792169532118,-13.595040166753593
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,2,-10.03932738310776,-13.66961316505035
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,2,-10.173483751197786,-13.976330822951459
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,2,-10.364272927059034,-14.194800231247735
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,2,-10.47156951444628,-14.304991850241652
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,2,-10.800921223536971,-14.697970833099056
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,2,-10.860040221645537,-14.72769235956017
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,2,-10.998105161494138,-14.841588597241678
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,2,-11.333603776172009,-15.045874294078883
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,2,-11.604359638606269,-14.983375696174775
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1281,valid,2,-11.803876240385415,-15.248704701071235
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1240,valid,2,-11.970355467895644,-15.179513720902287
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,1316,valid,2,-12.153645022441129,-15.39658483911802
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,1290,valid,2,-12.396257466275365,-15.581054222519946
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,1266,valid,2,-12.56955179951665,-15.056424227240287
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,1281,valid,2,-12.696432442491318,-15.261655099147292
