bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,1,0.3692761195573291,-6.466904966243038
-10,-10B,String,1.0,-9,-9B,String,323055,valid,3,4.850487259018428,1.2487589089325681
-100,-100B,String,1.0,-99,-99B,String,51443,valid,3,4.576031599283466,2.3593873300964194
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,3,4.416967124629719,3.427156747228619
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,3,4.18366782511399,4.332207345866531
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,3,4.515495351686329,4.842491032719982
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,3,4.390440543000962,5.061807622640677
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,3,4.313101374849807,4.957210370089418
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,3,4.529963434009737,5.134790638088176
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,3,4.340121958310976,5.3003987719053995
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,3,4.502794880575998,4.447189033418549
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,3,4.348994117988817,4.235957115286775
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,3,4.026739703304069,3.971782918434769
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,3,4.2123426655862755,3.6764152521075393
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,3,4.5393404348679205,3.0507020753744265
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,3,4.502298814901181,2.7933560538146485
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,3,4.696802034346235,2.164523764398275
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,3,4.865269985443394,1.7746042795364148
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,3,5.044287347286032,1.2450293864642294
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,3,5.071713421306345,0.8040985667224747
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,3,5.004547523918506,0.40819426858754254
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,3,5.079820321284848,-0.01786400232669433
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,3,5.088591924150281,-0.3781707692732377
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1281,valid,3,5.107320842679169,-0.7363098083134435
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1240,valid,2,5.141217211063429,-0.9261883035887456
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,1316,valid,2,5.0764806544572165,-1.280126588994173
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,1290,valid,2,5.118885933205791,-1.3821844596022492
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,1266,valid,2,5.103465471420817,-1.6634050871690162
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,1281,valid,2,5.288304050258714,-1.7312894673733643
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,1205,valid,2,5.498095194679089,-1.950265927135045
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,857,valid,2,5.276095303270827,-2.395960075150495
