bytes,output,type,metric,n_bytes,n_output,n_type,count,clustering,cluster,UMAP1b,UMAP2b
-1,-1B,String,1.0,0,0B,String,4778069,valid,4,-11.508201860926725,4.329688521861972
-10,-10B,String,1.0,-9,-9B,String,323055,valid,4,-11.86406012868692,3.7842762830917955
-100,-100B,String,1.0,-99,-99B,String,51443,valid,2,-11.730292987281171,3.203100474298992
-1000,-1000B,String,1.0,-999,-999B,String,14783,valid,2,-11.830600766131841,2.944892142315706
-10000,-10000B,String,1.0,-9999,-9999B,String,17754,valid,2,-0.9055663284355185,-10.364552637088636
-100000,-100000B,String,1.0,-99999,-99999B,String,8671,valid,2,-1.196440739860564,-10.931057705189922
-1000000,-1000000B,String,1.0,-999999,-999999B,String,12365,valid,2,-1.6374658401304523,-11.799468525621485
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,8691,valid,3,-1.8264176185741239,-12.301275189015275
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,8613,valid,3,-1.943702663282713,-12.569203544044074
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,6579,valid,3,-2.0597782921376377,-12.947099265219036
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,3780,valid,3,-2.1991816549850007,-13.360311249207125
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,3845,valid,3,-2.3125291641375894,-13.587549583680447
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,3932,valid,3,-2.088498792520261,-13.8173002046491
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,3769,valid,3,-2.260964957068233,-14.126914273067856
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,3773,valid,3,-2.090305151347691,-14.48929852362707
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,3865,valid,3,-1.8837729761130868,-14.866787113090332
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,3833,valid,3,-1.7078897835661906,-15.117477655524421
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,3792,valid,3,-1.529521440566126,-15.411276505801009
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,3400,valid,3,-1.3485832863312723,-15.597806993714944
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,1270,valid,3,-1.1123072591574426,-15.852797817688918
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,1202,valid,3,-0.9429358471191808,-15.996121288647299
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,788,valid,3,-0.6762844861789518,-16.235721219495712
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,1946,valid,3,-0.41048124829442517,-16.61906196477266
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,1281,valid,3,-0.33806554794874966,-16.670299229653462
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,1240,valid,1,-0.24306059030056143,-16.99874697058195
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,1316,valid,1,0.13012490023135645,-17.028184754072477
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,1290,valid,1,0.042539493250530754,-17.287825443083964
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,1266,valid,1,0.21850062794404818,-17.3808159242332
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,1281,valid,1,0.6166236332338292,-17.36751087131843
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,1205,valid,1,0.36495846733394977,-17.69024854162089
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,857,valid,1,0.6722520186529087,-17.728034311548964
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,332,valid,1,0.685446091824173,-17.999777325066784
-100000000000000000000000000000000,-100000000000000000000000000000000B,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,String,69,valid,1,0.4428870174410048,-18.116265054345902
9,9B,String,1.0,10,10B,String,915385,valid,4,-11.601085440235709,4.26578304828429
99,99B,String,1.0,100,100B,String,133133,valid,4,-11.625901115323646,4.054065114680127
9950,9.9 kB,String,1.0,9951,10.0 kB,String,25248,valid,2,-11.704225589851486,5.61729667995352
9950000,9.9 MB,String,1.0,9950001,10.0 MB,String,11693,valid,2,-11.664423617496785,5.308992722493317
9950000000,9.9 GB,String,1.0,9950000001,10.0 GB,String,4854,valid,2,-11.559415420213687,5.386442997267235
9950000000000,9.9 TB,String,1.0,9950000000001,10.0 TB,String,4869,valid,2,-11.390219869307215,5.520146221083944
9950000000000001999,9.9 EB,String,1.0,9950000000000002000,10.0 EB,String,1942,valid,2,-11.58789388461812,5.709121909111926
9950000000000999,9.9 PB,String,1.0,9950000000001000,10.0 PB,String,4864,valid,2,-11.278078381092717,5.843750546023638
999,999B,String,2.0,1000,1.0 kB,String,27846,valid,4,-11.252660812768799,4.093346079306204
99949,99.9 kB,String,1.0,99950,100.0 kB,String,12010,valid,2,-0.6190220335267712,-9.89511640001111
99949999,99.9 MB,String,1.0,99950000,100.0 MB,String,11325,valid,2,-0.540651072216085,-9.613349968700202
99949999999,99.9 GB,String,1.0,99950000000,100.0 GB,String,4985,valid,2,-0.44371190313309844,-10.005551055988462
99949999999999,99.9 TB,String,1.0,99950000000000,100.0 TB,String,4988,valid,2,-0.2609150006780246,-9.729760173642141
99949999999999991999,99.9 EB,String,1.0,99949999999999992000,100.0 EB,String,1674,valid,2,-0.8440632797714295,-9.950985505517268
99949999999999999,99.9 PB,String,1.0,99950000000000000,100.0 PB,String,4978,valid,2,-0.1375727195192845,-9.637068301755576
999949,999.9 kB,String,2.0,999950,1.0 MB,String,14899,valid,2,-12.395543132230413,2.706773574664472
999949999,999.9 MB,String,2.0,999950000,1.0 GB,String,8891,valid,2,-12.229580756190394,3.047561107812213
999949999999,999.9 GB,String,2.0,999950000000,1.0 TB,String,5088,valid,2,-12.01515657457305,2.6393650724251323
999949999999999,999.9 TB,String,2.0,999950000000000,1.0 PB,String,4869,valid,2,-12.429731441878522,3.019679467494703
999949999999999935999,999.9 EB,String,1.0,999949999999999936000,1000.0 EB,String,683,valid,2,-0.5765804719026237,-9.454501533976783
999949999999999999,999.9 PB,String,2.0,999950000000000000,1.0 EB,String,4501,valid,2,-12.349965803614953,2.999740725824888
