h,w,output,type,metric,n_h,n_w,n_output,n_type,count
-1,0,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,0,Severely obese,String,6612
-1,1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1,Severely obese,String,9648
-1,10,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,10,Severely obese,String,516
-1,100120,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,100120,Severely obese,String,12
-1,101,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,101,Severely obese,String,72
-1,10111,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,10111,Severely obese,String,12
-1,10195373451537283,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,10195373451537283,Severely obese,String,12
-1,1027501,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1027501,Severely obese,String,12
-1,10644,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,10644,Severely obese,String,12
-1,107538,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,107538,Severely obese,String,12
-1,107968615,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,107968615,Severely obese,String,12
-1,109549,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,109549,Severely obese,String,12
-1,11,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,11,Severely obese,String,444
-1,11026,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,11026,Severely obese,String,12
-1,112,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,112,Severely obese,String,36
-1,112192418892272,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,112192418892272,Severely obese,String,12
-1,11465,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,11465,Severely obese,String,12
-1,116,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,116,Severely obese,String,24
-1,117,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,117,Severely obese,String,60
-1,1175,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1175,Severely obese,String,12
-1,11780544,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,11780544,Severely obese,String,12
-1,118,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,118,Severely obese,String,96
-1,1186,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1186,Severely obese,String,12
-1,1197505235152668,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1197505235152668,Severely obese,String,12
-1,12,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,12,Severely obese,String,492
-1,1207,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1207,Severely obese,String,24
-1,121033,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,121033,Severely obese,String,12
-1,12191,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,12191,Severely obese,String,24
-1,12235,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,12235,Severely obese,String,12
-1,124,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,124,Severely obese,String,36
-1,12660,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,12660,Severely obese,String,12
-1,1269655314,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1269655314,Severely obese,String,12
-1,12771148899,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,12771148899,Severely obese,String,12
-1,1293370717,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1293370717,Severely obese,String,12
-1,13,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,13,Severely obese,String,408
-1,1311,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1311,Severely obese,String,12
-1,1349,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1349,Severely obese,String,12
-1,13591,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,13591,Severely obese,String,12
-1,1365378,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1365378,Severely obese,String,12
-1,13728,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,13728,Severely obese,String,12
-1,13745,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,13745,Severely obese,String,12
-1,13997,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,13997,Severely obese,String,12
-1,14,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,14,Severely obese,String,444
-1,1408,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1408,Severely obese,String,12
-1,142,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,142,Severely obese,String,12
-1,1424028,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1424028,Severely obese,String,12
-1,1438264669135910,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1438264669135910,Severely obese,String,12
-1,1451219294,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1451219294,Severely obese,String,12
-1,14595,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,14595,Severely obese,String,12
-1,145975685,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,145975685,Severely obese,String,12
-1,146,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,146,Severely obese,String,36
-1,14684,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,14684,Severely obese,String,12
-1,1476894776,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1476894776,Severely obese,String,12
-1,15,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,15,Severely obese,String,588
-1,150,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,150,Severely obese,String,12
-1,1502,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1502,Severely obese,String,12
-1,1516473964,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1516473964,Severely obese,String,12
-1,15281907,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,15281907,Severely obese,String,12
-1,15475,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,15475,Severely obese,String,12
-1,1553206,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1553206,Severely obese,String,12
-1,1566,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1566,Severely obese,String,12
-1,1596,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1596,Severely obese,String,12
-1,16,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,16,Severely obese,String,168
-1,160238,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,160238,Severely obese,String,12
-1,1605,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1605,Severely obese,String,12
-1,16321,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,16321,Severely obese,String,12
-1,16443842,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,16443842,Severely obese,String,12
-1,165882208,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,165882208,Severely obese,String,12
-1,168,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,168,Severely obese,String,36
-1,1684,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1684,Severely obese,String,12
-1,1700129739,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1700129739,Severely obese,String,12
-1,171,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,171,Severely obese,String,12
-1,1750103,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,41.0,0,1750103,Severely obese,String,12
