h,w,output,type,metric,n_h,n_w,n_output,n_type,count
3535268532211098552,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,3535268532211098552,0,Underweight,String,1
1819419067552045450,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,1819419067552045450,0,Underweight,String,1
573862263000523239,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,573862263000523239,0,Underweight,String,1
330497037046548103,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,330497037046548103,0,Underweight,String,1
229936643435498171,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,229936643435498171,0,Underweight,String,1
132195249864093765,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,132195249864093765,0,Underweight,String,1
66358340133925808,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,66358340133925808,0,Underweight,String,1
51390345147689507,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,51390345147689507,0,Underweight,String,1
45799461976773620,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,45799461976773620,0,Underweight,String,1
28141027425874676,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,28141027425874676,0,Underweight,String,1
19940230117712480,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,19940230117712480,0,Underweight,String,1
12724405557773457,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,12724405557773457,0,Underweight,String,1
12491665651758649,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,12491665651758649,0,Underweight,String,1
11454693408384164,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,11454693408384164,0,Underweight,String,1
9451924762592869,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,9451924762592869,0,Underweight,String,1
3968182817072062,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,3968182817072062,0,Underweight,String,1
3807215487867258,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,3807215487867258,0,Underweight,String,1
3382588730390899,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,3382588730390899,0,Underweight,String,1
1727528600106043,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,1727528600106043,0,Underweight,String,1
543801280147082,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,543801280147082,0,Underweight,String,1
543575784908306,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,543575784908306,0,Underweight,String,1
298963638574489,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,298963638574489,0,Underweight,String,1
271879854217525,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,271879854217525,0,Underweight,String,1
176524518618574,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,176524518618574,0,Underweight,String,1
128595700316111,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,128595700316111,0,Underweight,String,1
39870721922194,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,39870721922194,0,Underweight,String,1
33412997191238,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,33412997191238,0,Underweight,String,1
27504903942658,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,27504903942658,0,Underweight,String,1
16169597935083,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,16169597935083,0,Underweight,String,1
9157401707133,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,9157401707133,0,Underweight,String,1
6581481469460,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,6581481469460,0,Underweight,String,1
5194870794850,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,5194870794850,0,Underweight,String,1
4185535592153,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,4185535592153,0,Underweight,String,1
1640661335856,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,1640661335856,0,Underweight,String,1
984397403548,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,984397403548,0,Underweight,String,1
209361914218,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,209361914218,0,Underweight,String,1
52246280135,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,52246280135,0,Underweight,String,1
37676908711,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,37676908711,0,Underweight,String,1
30762002862,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,30762002862,0,Underweight,String,1
5932358255,64930853405884688,Normal,String,5.0,5932358256,64930853405884688,Underweight,String,1
4890323883,71626226722205083,Severely obese,String,9.0,4890323884,71626226722205083,Obese,String,1
4236564673,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,4236564673,0,Underweight,String,1
3869276108,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,3869276108,0,Underweight,String,1
3703181503,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,3703181503,0,Underweight,String,1
3476635011,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,3476635011,0,Underweight,String,1
3152642405,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,3152642405,0,Underweight,String,1
2994703547,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,2994703547,0,Underweight,String,1
2612226331,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,2612226331,0,Underweight,String,1
2451064334,11084236702091182,Normal,String,5.0,2451064335,11084236702091182,Underweight,String,1
2362078233,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,2362078233,0,Underweight,String,1
2314936436,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,2314936436,0,Underweight,String,1
2075705369,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,2075705369,0,Underweight,String,1
2047541361,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,2047541361,0,Underweight,String,1
1863445427,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,1863445427,0,Underweight,String,1
1843149820,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,1843149820,0,Underweight,String,1
1708905088,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,1708905088,0,Underweight,String,1
1668900806,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,1668900806,0,Underweight,String,1
1648792079,8141953382720559,Obese,String,9.0,1648792079,8141953382720560,Severely obese,String,1
1641430427,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,1641430427,0,Underweight,String,1
1313230690,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,1313230690,0,Underweight,String,1
1029150973,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,1029150973,0,Underweight,String,1
972813450,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,972813450,0,Underweight,String,1
971328088,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,971328088,0,Underweight,String,1
770804392,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,770804392,0,Underweight,String,1
751160259,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,751160259,0,Underweight,String,1
698904286,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,698904286,0,Underweight,String,1
691110548,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,691110548,0,Underweight,String,1
493869491,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,493869491,0,Underweight,String,1
479503499,424209052245734,Normal,String,5.0,479503500,424209052245734,Underweight,String,1
477142414,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,477142414,0,Underweight,String,1
474802030,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,474802030,0,Underweight,String,1
402423840,485025117942923,Severely obese,String,9.0,402423841,485025117942923,Obese,String,1
386668961,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,386668961,0,Underweight,String,1
361603433,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,361603433,0,Underweight,String,1
354057726,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,354057726,0,Underweight,String,1
335549042,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,335549042,0,Underweight,String,1
325130734,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,325130734,0,Underweight,String,1
307446188,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,307446188,0,Underweight,String,1
291993836,157305438483380,Underweight,String,5.0,291993836,157305438483381,Normal,String,1
287785393,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,287785393,0,Underweight,String,1
264809747,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,264809747,0,Underweight,String,1
262953044,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,262953044,0,Underweight,String,1
261522992,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,261522992,0,Underweight,String,1
244520895,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,244520895,0,Underweight,String,1
243363778,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,243363778,0,Underweight,String,1
218466658,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,218466658,0,Underweight,String,1
150432077,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,150432077,0,Underweight,String,1
135680040,33964740154371,Normal,String,5.0,135680041,33964740154371,Underweight,String,1
124218871,28468954998590,Normal,String,5.0,124218872,28468954998590,Underweight,String,1
110405079,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,110405079,0,Underweight,String,1
107870841,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,107870841,0,Underweight,String,1
107600612,21361210191620,Normal,String,5.0,107600613,21361210191620,Underweight,String,1
104622131,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,104622131,0,Underweight,String,1
104459432,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,104459432,0,Underweight,String,1
98622373,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,98622373,0,Underweight,String,1
97079310,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,97079310,0,Underweight,String,1
92187116,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,92187116,0,Underweight,String,1
86168825,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,86168825,0,Underweight,String,1
74119091,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,74119091,0,Underweight,String,1
72708404,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,72708404,0,Underweight,String,1
72156176,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,72156176,0,Underweight,String,1
72114097,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,72114097,0,Underweight,String,1
69079340,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,69079340,0,Underweight,String,1
68344971,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,68344971,0,Underweight,String,1
67984596,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,67984596,0,Underweight,String,1
66970843,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,66970843,0,Underweight,String,1
62150166,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,62150166,0,Underweight,String,1
59843263,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,59843263,0,Underweight,String,1
58537490,10262780017822,Obese,String,9.0,58537490,10262780017823,Severely obese,String,1
56424581,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,56424581,0,Underweight,String,1
50957549,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,50957549,0,Underweight,String,1
49612536,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,49612536,0,Underweight,String,1
46838044,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,46838044,0,Underweight,String,1
44641919,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,44641919,0,Underweight,String,1
44531552,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,44531552,0,Underweight,String,1
42995009,3410613123989,Underweight,String,5.0,42995009,3410613123990,Normal,String,1
41464917,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,41464917,0,Underweight,String,1
35644420,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,35644420,0,Underweight,String,1
33671944,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,33671944,0,Underweight,String,1
31014015,1774648538245,Underweight,String,5.0,31014015,1774648538246,Normal,String,1
30607962,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,30607962,0,Underweight,String,1
28063749,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,28063749,0,Underweight,String,1
27985208,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,27985208,0,Underweight,String,1
26206395,1267100131264,Normal,String,5.0,26206396,1267100131264,Underweight,String,1
25222060,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,25222060,0,Underweight,String,1
24036805,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,24036805,0,Underweight,String,1
