h,w,output,type,metric,n_h,n_w,n_output,n_type,count
8603973046247250623,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,8603973046247250623,0,Underweight,String,1
8206047769646677579,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,8206047769646677579,0,Underweight,String,1
7543292653522588874,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,7543292653522588874,0,Underweight,String,1
7539808920876045583,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,7539808920876045583,0,Underweight,String,1
7396817034517352036,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,7396817034517352036,0,Underweight,String,1
7304483594450411512,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,7304483594450411512,0,Underweight,String,1
6995889375132071293,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,6995889375132071293,0,Underweight,String,1
6153102229870445690,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,6153102229870445690,0,Underweight,String,1
5321335827306956312,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,5321335827306956312,0,Underweight,String,1
4733142495649338284,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,4733142495649338284,0,Underweight,String,1
4514546477634520223,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,4514546477634520223,0,Underweight,String,1
4369011016093742119,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,4369011016093742119,0,Underweight,String,1
4340206953251566416,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,4340206953251566416,0,Underweight,String,1
4134268446867523333,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,4134268446867523333,0,Underweight,String,1
3165258277479100753,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,3165258277479100753,0,Underweight,String,1
3022892208275278935,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,3022892208275278935,0,Underweight,String,1
2764608098027559564,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,2764608098027559564,0,Underweight,String,1
2652308649565679289,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,2652308649565679289,0,Underweight,String,1
