h,w,output,type,metric,n_h,n_w,n_output,n_type,count
-1,0,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,0,0,NaN,String,8376
-1,1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,0,1,Inf,String,32580
-1,10,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,0,10,Inf,String,1632
-1,100,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,0,100,Inf,String,132
-1,100142,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,0,100142,Inf,String,12
-1,101,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,0,101,Inf,String,132
-1,102,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,0,102,Inf,String,216
-1,102275676,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,0,102275676,Inf,String,12
-1,104,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,0,104,Inf,String,192
-1,10429,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,0,10429,Inf,String,12
-1,10430517,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,0,10430517,Inf,String,12
-1,10563,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,0,10563,Inf,String,12
-1,106,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,0,106,Inf,String,120
-1,1062514470782,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,0,1062514470782,Inf,String,12
-1,1063,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,0,1063,Inf,String,12
-1,1075020844197237553,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,0,1075020844197237553,Inf,String,12
-1,108,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,0,108,Inf,String,252
-1,109,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,0,109,Inf,String,192
-1,11,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,0,11,Inf,String,1608
-1,111,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,0,111,Inf,String,228
-1,1112113556053188619,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,0,1112113556053188619,Inf,String,12
-1,111770,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,0,111770,Inf,String,12
-1,11414,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,0,11414,Inf,String,12
-1,114650,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,0,114650,Inf,String,12
-1,115,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,0,115,Inf,String,156
-1,11507027,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,0,11507027,Inf,String,12
-1,11555074342631,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,0,11555074342631,Inf,String,12
-1,117,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,0,117,Inf,String,132
-1,11782,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,0,11782,Inf,String,12
-1,118,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,0,118,Inf,String,144
-1,118205337804474,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,0,118205337804474,Inf,String,12
-1,11872678,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,0,11872678,Inf,String,12
-1,12,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,0,12,Inf,String,1764
-1,1200467,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,0,1200467,Inf,String,12
-1,12107,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,0,12107,Inf,String,12
-1,1231,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,0,1231,Inf,String,12
-1,12373,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,0,12373,Inf,String,12
