h,w,output,type,metric,n_h,n_w,n_output,n_type,count
7038606038116022825,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,7038606038116022825,0,0.0,String,1
1616195340830926785,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,1616195340830926785,0,0.0,String,1
1109749662917692817,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,1109749662917692817,0,0.0,String,1
909373599215894697,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,909373599215894697,0,0.0,String,1
614634447693366087,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,614634447693366087,0,0.0,String,1
491920848962688836,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,491920848962688836,0,0.0,String,1
418364332628404428,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,418364332628404428,0,0.0,String,1
286904935148197043,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,286904935148197043,0,0.0,String,1
231634678255425783,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,231634678255425783,0,0.0,String,1
201561251353197202,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,201561251353197202,0,0.0,String,1
178260930149290307,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,178260930149290307,0,0.0,String,1
116937336149115334,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,116937336149115334,0,0.0,String,1
108761787169692412,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,108761787169692412,0,0.0,String,1
105628023530681593,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,105628023530681593,0,0.0,String,1
84298831780586106,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,84298831780586106,0,0.0,String,1
76279033238874324,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,76279033238874324,0,0.0,String,1
76012649083703577,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,76012649083703577,0,0.0,String,1
53267063963528630,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,53267063963528630,0,0.0,String,1
16791007253738376,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,16791007253738376,0,0.0,String,1
15658221991999309,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,15658221991999309,0,0.0,String,1
15321933265158035,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,15321933265158035,0,0.0,String,1
7677471509100092,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,7677471509100092,0,0.0,String,1
3736189722684371,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,3736189722684371,0,0.0,String,1
1934479790496364,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,1934479790496364,0,0.0,String,1
1680967764533220,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,1680967764533220,0,0.0,String,1
1519862067499444,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,1519862067499444,0,0.0,String,1
1009186999267195,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,1009186999267195,0,0.0,String,1
880926153326774,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,880926153326774,0,0.0,String,1
561814891394107,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,561814891394107,0,0.0,String,1
406001671014363,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,406001671014363,0,0.0,String,1
127513349500916,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,127513349500916,0,0.0,String,1
81081107459048,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,81081107459048,0,0.0,String,1
33911093297097,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,33911093297097,0,0.0,String,1
31371014343502,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,31371014343502,0,0.0,String,1
30152401853032,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,30152401853032,0,0.0,String,1
21330604598625,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,21330604598625,0,0.0,String,1
7522093319887,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,7522093319887,0,0.0,String,1
7224468446376,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,7224468446376,0,0.0,String,1
5276914332758,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,5276914332758,0,0.0,String,1
4461446424911,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,4461446424911,0,0.0,String,1
3847987306667,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,3847987306667,0,0.0,String,1
3300546138545,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,3300546138545,0,0.0,String,1
2790713159041,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,2790713159041,0,0.0,String,1
