h,w,output,type,metric,n_h,n_w,n_output,n_type,count
3740205807022659778,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,3740205807022659778,0,0.0,String,1
3407690188790484926,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,3407690188790484926,0,0.0,String,1
429749623447146574,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,429749623447146574,0,0.0,String,1
273061618871393331,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,273061618871393331,0,0.0,String,1
41560650216082121,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,41560650216082121,0,0.0,String,1
32367729176456720,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,32367729176456720,0,0.0,String,1
16508277232672658,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,16508277232672658,0,0.0,String,1
2532963166888498,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,2532963166888498,0,0.0,String,1
2106073439148215,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,2106073439148215,0,0.0,String,1
1496005096846650,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,1496005096846650,0,0.0,String,1
1386545756059216,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,1386545756059216,0,0.0,String,1
521370061996906,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,521370061996906,0,0.0,String,1
497038744596126,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,497038744596126,0,0.0,String,1
66548738621306,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,66548738621306,0,0.0,String,1
37746689566097,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,37746689566097,0,0.0,String,1
5527801906669,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,5527801906669,0,0.0,String,1
570175672836,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,570175672836,0,0.0,String,1
245865216762,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,245865216762,0,0.0,String,1
121720941374,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,121720941374,0,0.0,String,1
75043082348,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,75043082348,0,0.0,String,1
56294269229,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,56294269229,0,0.0,String,1
30552821541,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,30552821541,0,0.0,String,1
3841837732,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,3841837732,0,0.0,String,1
2084182541,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,2084182541,0,0.0,String,1
2075159635,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,2075159635,0,0.0,String,1
1964476955,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,1964476955,0,0.0,String,1
1757813209,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,1757813209,0,0.0,String,1
1031889501,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,1031889501,0,0.0,String,1
1017113884,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,1017113884,0,0.0,String,1
815277301,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,815277301,0,0.0,String,1
769751844,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,769751844,0,0.0,String,1
547994638,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,547994638,0,0.0,String,1
482563865,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,482563865,0,0.0,String,1
432698711,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,432698711,0,0.0,String,1
411932047,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,411932047,0,0.0,String,1
408765457,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,408765457,0,0.0,String,1
364029536,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,364029536,0,0.0,String,1
354038326,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,354038326,0,0.0,String,1
255367208,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,255367208,0,0.0,String,1
234910523,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,234910523,0,0.0,String,1
208128218,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,208128218,0,0.0,String,1
202072334,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,202072334,0,0.0,String,1
197802564,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,197802564,0,0.0,String,1
195886949,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,195886949,0,0.0,String,1
130728459,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,130728459,0,0.0,String,1
107999895,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,107999895,0,0.0,String,1
99557836,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,99557836,0,0.0,String,1
97669178,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,97669178,0,0.0,String,1
88577528,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,88577528,0,0.0,String,1
85465614,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,85465614,0,0.0,String,1
80035513,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,80035513,0,0.0,String,1
47012068,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,47012068,0,0.0,String,1
30572259,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,30572259,0,0.0,String,1
29647480,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,29647480,0,0.0,String,1
29579489,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,29579489,0,0.0,String,1
28979022,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,28979022,0,0.0,String,1
26103759,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,26103759,0,0.0,String,1
20705027,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,20705027,0,0.0,String,1
16546526,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,16546526,0,0.0,String,1
13123150,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,13123150,0,0.0,String,1
12962726,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,12962726,0,0.0,String,1
11906402,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,11906402,0,0.0,String,1
11610744,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,11610744,0,0.0,String,1
9091783,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,9091783,0,0.0,String,1
8437042,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,8437042,0,0.0,String,1
7246742,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,7246742,0,0.0,String,1
7168882,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,7168882,0,0.0,String,1
6812008,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,6812008,0,0.0,String,1
6495988,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,6495988,0,0.0,String,1
5642199,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,5642199,0,0.0,String,1
4013805,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,4013805,0,0.0,String,1
3827807,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,3827807,0,0.0,String,1
2784801,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,2784801,0,0.0,String,1
2539456,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,2539456,0,0.0,String,1
2471084,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,2471084,0,0.0,String,1
2298758,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,2298758,0,0.0,String,1
1722022,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,1722022,0,0.0,String,1
1507239,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,1507239,0,0.0,String,1
1503787,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,1503787,0,0.0,String,1
1404728,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,1404728,0,0.0,String,1
1076301,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,1076301,0,0.0,String,1
1020300,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,1020300,0,0.0,String,1
915921,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,915921,0,0.0,String,1
901350,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,901350,0,0.0,String,1
763745,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,763745,0,0.0,String,1
656124,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,656124,0,0.0,String,1
581010,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,581010,0,0.0,String,1
506774,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,506774,0,0.0,String,1
439669,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,439669,0,0.0,String,1
400747,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,400747,0,0.0,String,1
381939,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,381939,0,0.0,String,1
252985,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,252985,0,0.0,String,1
238736,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,238736,0,0.0,String,1
235274,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,235274,0,0.0,String,1
160260,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,160260,0,0.0,String,1
147733,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,147733,0,0.0,String,1
134190,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,134190,0,0.0,String,1
126207,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,126207,0,0.0,String,1
125594,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,125594,0,0.0,String,1
125448,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,125448,0,0.0,String,1
118473,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,118473,0,0.0,String,1
104608,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,104608,0,0.0,String,1
101859,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,101859,0,0.0,String,1
84815,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,84815,0,0.0,String,1
81928,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,81928,0,0.0,String,1
79758,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,79758,0,0.0,String,1
73608,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,73608,0,0.0,String,1
71883,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,71883,0,0.0,String,1
55505,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,55505,0,0.0,String,1
54720,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,54720,0,0.0,String,1
51594,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,51594,0,0.0,String,1
43498,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,43498,0,0.0,String,1
40684,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,40684,0,0.0,String,1
39894,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,39894,0,0.0,String,1
35575,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,35575,0,0.0,String,1
33320,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,33320,0,0.0,String,1
32738,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,32738,0,0.0,String,1
32683,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,32683,0,0.0,String,1
30019,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,30019,0,0.0,String,1
28907,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,28907,0,0.0,String,1
27851,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,27851,0,0.0,String,1
27028,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,27028,0,0.0,String,1
26132,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,26132,0,0.0,String,1
24850,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,24850,0,0.0,String,1
24497,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,24497,0,0.0,String,1
23543,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,23543,0,0.0,String,1
21524,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,21524,0,0.0,String,1
20096,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,20096,0,0.0,String,1
17919,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,17919,0,0.0,String,1
17278,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,17278,0,0.0,String,1
16969,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,16969,0,0.0,String,1
16799,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,16799,0,0.0,String,1
15856,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,15856,0,0.0,String,1
15165,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,15165,0,0.0,String,1
14637,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,14637,0,0.0,String,1
13704,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,13704,0,0.0,String,1
13585,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,13585,0,0.0,String,1
13199,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,13199,0,0.0,String,1
12770,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,12770,0,0.0,String,1
10694,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,10694,0,0.0,String,1
10631,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,10631,0,0.0,String,1
10436,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,10436,0,0.0,String,1
10185,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,10185,0,0.0,String,1
9981,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,9981,0,0.0,String,1
9059,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,9059,0,0.0,String,1
8159,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,8159,0,0.0,String,1
7947,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,7947,0,0.0,String,1
7806,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,7806,0,0.0,String,1
7799,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,7799,0,0.0,String,1
7521,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,7521,0,0.0,String,1
7122,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,7122,0,0.0,String,1
6840,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,6840,0,0.0,String,1
6819,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,6819,0,0.0,String,1
6715,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,6715,0,0.0,String,1
6580,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,6580,0,0.0,String,1
6445,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,6445,0,0.0,String,1
