bytes,output,type,metric,n_bytes,n_output,n_type,count
-1,-1B,String,1.0,0,0B,String,54589140
-10,-10B,String,1.0,-9,-9B,String,3691164
-100,-100B,String,1.0,-99,-99B,String,586824
-1000,-1000B,String,1.0,-999,-999B,String,168312
-10000,-10000B,String,1.0,-9999,-9999B,String,202392
-100000,-100000B,String,1.0,-99999,-99999B,String,98568
-1000000,-1000000B,String,1.0,-999999,-999999B,String,140364
-10000000,-10000000B,String,1.0,-9999999,-9999999B,String,98964
-100000000,-100000000B,String,1.0,-99999999,-99999999B,String,98568
-1000000000,-1000000000B,String,1.0,-999999999,-999999999B,String,74808
-10000000000,-10000000000B,String,1.0,-9999999999,-9999999999B,String,42936
-100000000000,-100000000000B,String,1.0,-99999999999,-99999999999B,String,43704
-1000000000000,-1000000000000B,String,1.0,-999999999999,-999999999999B,String,45060
-10000000000000,-10000000000000B,String,1.0,-9999999999999,-9999999999999B,String,42924
-100000000000000,-100000000000000B,String,1.0,-99999999999999,-99999999999999B,String,43224
-1000000000000000,-1000000000000000B,String,1.0,-999999999999999,-999999999999999B,String,44076
-10000000000000000,-10000000000000000B,String,1.0,-9999999999999999,-9999999999999999B,String,43632
-100000000000000000,-100000000000000000B,String,1.0,-99999999999999999,-99999999999999999B,String,43080
-1000000000000000000,-1000000000000000000B,String,1.0,-999999999999999999,-999999999999999999B,String,38772
-10000000000000000000,-10000000000000000000B,String,1.0,-9999999999999999999,-9999999999999999999B,String,14424
-100000000000000000000,-100000000000000000000B,String,1.0,-99999999999999999999,-99999999999999999999B,String,13668
-1000000000000000000000,-1000000000000000000000B,String,1.0,-999999999999999999999,-999999999999999999999B,String,9036
-10000000000000000000000,-10000000000000000000000B,String,1.0,-9999999999999999999999,-9999999999999999999999B,String,22056
-100000000000000000000000,-100000000000000000000000B,String,1.0,-99999999999999999999999,-99999999999999999999999B,String,14460
-1000000000000000000000000,-1000000000000000000000000B,String,1.0,-999999999999999999999999,-999999999999999999999999B,String,14280
-10000000000000000000000000,-10000000000000000000000000B,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,String,15036
-100000000000000000000000000,-100000000000000000000000000B,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,String,14640
-1000000000000000000000000000,-1000000000000000000000000000B,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,String,14508
-10000000000000000000000000000,-10000000000000000000000000000B,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,String,14640
-100000000000000000000000000000,-100000000000000000000000000000B,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,String,13764
-1000000000000000000000000000000,-1000000000000000000000000000000B,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,String,9876
-10000000000000000000000000000000,-10000000000000000000000000000000B,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,String,3744
-100000000000000000000000000000000,-100000000000000000000000000000000B,String,1.0,-99999999999999999999999999999999,-99999999999999999999999999999999B,String,804
-1000000000000000000000000000000000,-1000000000000000000000000000000000B,String,1.0,-999999999999999999999999999999999,-999999999999999999999999999999999B,String,36
9,9B,String,1.0,10,10B,String,10452396
99,99B,String,1.0,100,100B,String,1520556
9950,9.9 kB,String,1.0,9951,10.0 kB,String,287568
9950000,9.9 MB,String,1.0,9950001,10.0 MB,String,133608
9950000000,9.9 GB,String,1.0,9950000001,10.0 GB,String,55128
9950000000000,9.9 TB,String,1.0,9950000000001,10.0 TB,String,55632
9950000000000001999,9.9 EB,String,1.0,9950000000000002000,10.0 EB,String,22164
9950000000000999,9.9 PB,String,1.0,9950000000001000,10.0 PB,String,55488
999,999B,String,2.0,1000,1.0 kB,String,317568
99949,99.9 kB,String,1.0,99950,100.0 kB,String,136944
99949999,99.9 MB,String,1.0,99950000,100.0 MB,String,129336
99949999999,99.9 GB,String,1.0,99950000000,100.0 GB,String,57000
99949999999999,99.9 TB,String,1.0,99950000000000,100.0 TB,String,56832
99949999999999991999,99.9 EB,String,1.0,99949999999999992000,100.0 EB,String,19020
99949999999999999,99.9 PB,String,1.0,99950000000000000,100.0 PB,String,56724
999949,999.9 kB,String,2.0,999950,1.0 MB,String,168876
999949999,999.9 MB,String,2.0,999950000,1.0 GB,String,101568
999949999999,999.9 GB,String,2.0,999950000000,1.0 TB,String,58368
999949999999999,999.9 TB,String,2.0,999950000000000,1.0 PB,String,55524
999949999999999935999,999.9 EB,String,1.0,999949999999999936000,1000.0 EB,String,7860
999949999999999999,999.9 PB,String,2.0,999950000000000000,1.0 EB,String,51396
999999999999990520104160854016,"BoundsError(""kMGTPE"", 9)",BoundsError,1.0,999999999999990520104160854017,"BoundsError(""kMGTPE"", 10)",BoundsError,16752
999999999999994822656,1000.0 EB,String,15.0,999999999999994822657,"BoundsError(""kMGTPE"", 7)",BoundsError,53100
false,falseB,String,1.0,true,trueB,String,112208904
